precinct,ballot_type,registered_voters,ballots_cast,turnout,DONALD_TRUMP,BEN_CARSON,TED_CRUZ,JOHN_KASICH,JIM_GILMORE,WRITE_IN,over_votes,under_votes
7919,Election_Day,31,3,9.68,1,,2,,,,,
7919,VBM,31,5,16.13,2,,,2,,1,,
7921,Election_Day,47,6,12.77,3,,1,2,,,,
7921,VBM,47,4,8.51,2,,,2,,,,
7922,Election_Day,33,6,18.18,4,,,,,2,,
7922,VBM,33,8,24.24,6,,1,1,,,,
7923,Election_Day,33,1,3.03,,,,,,,,1
7923,VBM,33,6,18.18,5,,,1,,,,
7924,Election_Day,32,1,3.13,,,,,,1,,
7924,VBM,32,7,21.88,7,,,,,,,
7925,Election_Day,22,4,18.18,3,,,,,1,,
7925,VBM,22,3,13.64,2,,1,,,,,
7926,Election_Day,18,1,5.56,,,1,,,,,
7926,VBM,18,3,16.67,3,,,,,,,
7927,Election_Day,21,3,14.29,1,,,2,,,,
7927,VBM,21,4,19.05,2,,,1,,,,1
7928,Election_Day,24,3,12.50,2,,,,1,,,
7928,VBM,24,7,29.17,6,,,1,,,,
7929,Election_Day,34,7,20.59,2,,,4,,,,1
7929,VBM,34,9,26.47,8,,,,,1,,
7931,VBM,24,4,16.67,2,,1,,,,,1
7932,Election_Day,21,5,23.81,3,,1,,,,,1
7932,VBM,21,4,19.05,2,,,2,,,,
7933,Election_Day,0,0,0.00,,,,,,,,
7933,VBM,0,0,0.00,,,,,,,,
7934,Election_Day,36,4,11.11,1,,1,2,,,,
7934,VBM,36,7,19.44,1,1,3,1,,,,1
7935,Election_Day,35,4,11.43,,,,3,,,,1
7935,VBM,35,7,20.00,2,,1,1,,2,,1
7936,Election_Day,24,8,33.33,6,,1,,,1,,
7936,VBM,24,5,20.83,2,,,3,,,,
7937,Election_Day,39,2,5.13,1,,,,,,,1
7937,VBM,39,6,15.38,2,,,1,1,2,,
7938,Election_Day,31,3,9.68,2,,1,,,,,
7938,VBM,31,2,6.45,2,,,,,,,
7939,Election_Day,18,5,27.78,,,1,4,,,,
7939,VBM,18,2,11.11,,,,2,,,,
7941,Election_Day,25,3,12.00,1,1,1,,,,,
7941,VBM,25,5,20.00,4,,,1,,,,
7942,Election_Day,30,8,26.67,6,,,2,,,,
7942,VBM,30,3,10.00,2,,1,,,,,
7943,Election_Day,60,10,16.67,7,,,1,1,,,1
7943,VBM,60,11,18.33,8,1,,2,,,,
7944,Election_Day,24,3,12.50,1,,,1,,1,,
7944,VBM,24,1,4.17,,,1,,,,,
7945,Election_Day,37,4,10.81,3,,,,,,,1
7945,VBM,37,7,18.92,3,,2,1,,1,,
7946,Election_Day,46,3,6.52,2,,,,,1,,
7946,VBM,46,15,32.61,6,,3,3,1,,,2
7947,Election_Day,61,9,14.75,6,1,,2,,,,
7947,VBM,61,20,32.79,14,,2,1,,1,,2
7948,VBM,54,11,20.37,5,,2,3,,1,,
7949,Election_Day,46,4,8.70,2,,2,,,,,
7949,VBM,46,9,19.57,6,,,,1,,,2
7951,Election_Day,60,5,8.33,5,,,,,,,
7951,VBM,60,25,41.67,16,,4,1,,4,,
7952,Election_Day,50,10,20.00,8,,1,1,,,,
7952,VBM,50,13,26.00,9,,2,1,,1,,
7953,Election_Day,68,5,7.35,3,1,,1,,,,
7953,VBM,68,19,27.94,11,,1,5,2,,,
7954,Election_Day,0,0,0.00,,,,,,,,
7954,VBM,0,0,0.00,,,,,,,,
7955,Election_Day,60,9,15.00,8,,1,,,,,
7955,VBM,60,23,38.33,9,1,2,5,1,3,,2
7956,Election_Day,55,6,10.91,3,,,1,,,,2
7956,VBM,55,18,32.73,10,1,4,,,,,3
7957,Election_Day,34,1,2.94,,,,1,,,,
7957,VBM,34,5,14.71,5,,,,,,,
7958,Election_Day,13,0,0.00,,,,,,,,
7958,VBM,13,4,30.77,2,,1,,,,,1
9001,Election_Day,23,0,0.00,,,,,,,,
9001,VBM,23,1,4.35,1,,,,,,,
9101,Election_Day,97,15,15.46,3,,2,9,,1,,
9101,VBM,97,30,30.93,20,1,1,4,,2,,2
