precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7647,VBM,861,169,19.63,133,22,,14
7648,Election_Day,7,0,0,,,,
7648,VBM,7,2,28.57,2,,,
7701,Election_Day,938,290,30.92,201,41,,48
7701,VBM,938,328,34.97,236,51,,41
7702,Election_Day,752,161,21.41,106,24,,31
7702,VBM,752,323,42.95,226,50,,47
7703,Election_Day,137,2,1.46,1,,,1
7703,VBM,137,55,40.15,35,8,,12
7704,Election_Day,943,239,25.34,161,45,,33
7704,VBM,943,393,41.68,292,43,1,57
7705,Election_Day,536,148,27.61,110,17,,21
7705,VBM,536,228,42.54,148,47,,33
7706,Election_Day,813,220,27.06,154,46,,20
7706,VBM,813,356,43.79,272,41,,43
7707,Election_Day,817,215,26.32,161,23,,31
7707,VBM,817,348,42.59,258,47,,43
7708,Election_Day,853,181,21.22,120,28,,33
7708,VBM,853,365,42.79,275,42,,48
7709,Election_Day,359,97,27.02,70,12,,15
7709,VBM,359,180,50.14,134,23,,23
7711,Election_Day,763,188,24.64,140,18,,30
7711,VBM,763,310,40.63,227,42,,41
7712,Election_Day,543,142,26.15,106,19,,17
7712,VBM,543,223,41.07,166,22,,35
7801,Election_Day,928,266,28.66,182,47,,37
7801,VBM,928,394,42.46,279,65,,50
7802,Election_Day,732,223,30.46,156,33,,34
7802,VBM,732,285,38.93,206,30,,49
7803,Election_Day,775,172,22.19,112,23,,37
7803,VBM,775,403,52,302,52,,49
7804,Election_Day,881,261,29.63,187,39,,35
7804,VBM,881,368,41.77,279,36,,53
7805,Election_Day,795,207,26.04,150,23,,34
7805,VBM,795,331,41.64,229,41,,61
7806,Election_Day,727,205,28.2,150,29,,26
7806,VBM,727,267,36.73,187,35,,45
7807,Election_Day,729,243,33.33,188,22,,33
7807,VBM,729,229,31.41,169,20,,40
7808,Election_Day,653,218,33.38,143,35,,40
7808,VBM,653,217,33.23,141,39,,37
7809,Election_Day,978,265,27.1,199,26,,40
7809,VBM,978,357,36.5,264,47,,46
7811,Election_Day,731,207,28.32,160,16,,31
7811,VBM,731,235,32.15,173,35,,27
7812,Election_Day,819,229,27.96,156,26,,47
7812,VBM,819,294,35.9,207,47,,40
7813,Election_Day,982,306,31.16,226,32,,48
7813,VBM,982,367,37.37,270,49,,48
7814,Election_Day,835,177,21.2,119,24,,34
7814,VBM,835,209,25.03,147,28,1,33
7815,Election_Day,890,226,25.39,148,35,,43
7815,VBM,890,392,44.04,276,50,,66
7816,Election_Day,837,236,28.2,165,36,,35
7816,VBM,837,396,47.31,302,51,,43
7817,Election_Day,781,268,34.31,198,28,,42
7817,VBM,781,301,38.54,228,36,,37
7818,Election_Day,828,235,28.38,171,26,,38
7818,VBM,828,323,39.01,227,52,,44
7819,Election_Day,762,213,27.95,154,32,,27
7819,VBM,762,270,35.43,193,37,,40
7821,Election_Day,918,254,27.67,187,36,,31
7821,VBM,918,399,43.46,286,58,,55
7822,Election_Day,873,277,31.73,210,26,,41
7822,VBM,873,300,34.36,216,46,,38
7823,Election_Day,854,253,29.63,172,34,,47
7823,VBM,854,321,37.59,239,40,,42
7824,Election_Day,748,213,28.48,148,27,,38
7824,VBM,748,269,35.96,198,36,,35
7825,Election_Day,547,174,31.81,131,21,,22
7825,VBM,547,193,35.28,153,18,,22
7826,Election_Day,672,214,31.85,140,31,,43
7826,VBM,672,251,37.35,172,33,,46
7827,Election_Day,890,249,27.98,175,22,,52
7827,VBM,890,270,30.34,187,46,,37
7828,Election_Day,935,238,25.45,168,42,,28
7828,VBM,935,397,42.46,302,39,,56
7829,Election_Day,845,217,25.68,150,36,,31
7829,VBM,845,385,45.56,288,54,,43
7831,Election_Day,878,255,29.04,181,32,,42
7831,VBM,878,364,41.46,286,32,,46
7832,Election_Day,782,221,28.26,156,33,,32
7832,VBM,782,348,44.5,250,49,1,48
7833,Election_Day,753,192,25.5,117,28,,47
7833,VBM,753,281,37.32,204,34,,43
7834,Election_Day,852,279,32.75,193,38,,48
7834,VBM,852,267,31.34,180,42,,45
7835,Election_Day,787,217,27.57,144,32,,41
7835,VBM,787,321,40.79,254,32,,35
7836,Election_Day,948,247,26.05,186,36,,25
7836,VBM,948,403,42.51,296,54,,53
7837,Election_Day,868,247,28.46,172,30,,45
7837,VBM,868,358,41.24,255,47,,56
