precinct,ballot_type,registered,ballots_cast,turnout,Yes,No,over_votes,under_votes
7635,Election_Day,707,123,17.4,93,21,,9
7635,VBM,707,235,33.24,173,35,,27
7636,Election_Day,840,174,20.71,125,38,,11
7636,VBM,840,265,31.55,183,61,1,20
7637,Election_Day,1075,170,15.81,114,31,,25
7637,VBM,1075,397,36.93,265,98,,34
7638,Election_Day,999,132,13.21,83,31,,18
7638,VBM,999,402,40.24,257,120,,25
7639,Election_Day,868,159,18.32,106,34,1,18
7639,VBM,868,274,31.57,171,80,,23
7641,Election_Day,881,147,16.69,114,27,,6
7641,VBM,881,330,37.46,222,83,,25
7642,Election_Day,879,143,16.27,93,18,,32
7642,VBM,879,397,45.16,233,61,,103
7643,Election_Day,860,125,14.53,87,23,,15
7643,VBM,860,339,39.42,227,89,1,22
7644,Election_Day,918,190,20.7,139,23,,28
7644,VBM,918,275,29.96,192,54,1,28
7645,Election_Day,607,88,14.5,67,14,,7
7645,VBM,607,270,44.48,179,70,1,20
7646,Election_Day,1601,274,17.11,208,34,,32
7646,VBM,1601,574,35.85,417,107,,50
7647,Election_Day,861,167,19.4,123,26,,18
7647,VBM,861,169,19.63,134,24,1,10
7648,Election_Day,7,0,0,,,,
7648,VBM,7,2,28.57,2,,,
7701,Election_Day,938,290,30.92,233,40,,17
7701,VBM,938,328,34.97,246,60,,22
7702,Election_Day,752,161,21.41,118,27,,16
7702,VBM,752,323,42.95,214,83,,26
7703,Election_Day,137,2,1.46,1,,,1
7703,VBM,137,55,40.15,42,5,,8
7704,Election_Day,943,239,25.34,168,55,,16
7704,VBM,943,393,41.68,256,107,,30
7705,Election_Day,536,148,27.61,92,41,,15
7705,VBM,536,228,42.54,145,69,1,13
7706,Election_Day,813,220,27.06,147,59,,14
7706,VBM,813,356,43.79,223,107,2,24
7707,Election_Day,817,215,26.32,160,42,,13
7707,VBM,817,348,42.59,241,85,,22
7708,Election_Day,853,181,21.22,131,33,,17
7708,VBM,853,365,42.79,237,99,,29
7709,Election_Day,359,97,27.02,76,16,,5
7709,VBM,359,180,50.14,128,36,1,15
7711,Election_Day,763,188,24.64,138,33,,17
7711,VBM,763,310,40.63,225,65,,20
7712,Election_Day,543,142,26.15,108,22,,12
7712,VBM,543,223,41.07,163,47,,13
7801,Election_Day,928,266,28.66,211,37,,18
7801,VBM,928,394,42.46,278,89,,27
7802,Election_Day,732,223,30.46,174,30,,19
7802,VBM,732,285,38.93,217,49,,19
7803,Election_Day,775,172,22.19,128,26,,18
7803,VBM,775,403,52,308,79,,16
7804,Election_Day,881,261,29.63,193,44,,24
7804,VBM,881,368,41.77,271,69,1,27
7805,Election_Day,795,207,26.04,176,15,,16
7805,VBM,795,331,41.64,245,61,1,24
7806,Election_Day,727,205,28.2,166,23,,16
7806,VBM,727,267,36.73,216,32,,19
7807,Election_Day,729,243,33.33,200,27,,16
7807,VBM,729,229,31.41,185,27,,17
7808,Election_Day,653,218,33.38,166,29,1,22
7808,VBM,653,217,33.23,179,26,,12
7809,Election_Day,978,265,27.1,225,23,,17
7809,VBM,978,357,36.5,292,39,,26
7811,Election_Day,731,207,28.32,158,31,,18
7811,VBM,731,235,32.15,190,33,,12
7812,Election_Day,819,229,27.96,190,19,,20
7812,VBM,819,294,35.9,224,54,,16
7813,Election_Day,982,306,31.16,254,27,,25
7813,VBM,982,367,37.37,300,39,,28
7814,Election_Day,835,177,21.2,142,18,,17
7814,VBM,835,209,25.03,163,30,1,15
7815,Election_Day,890,226,25.39,170,36,,20
7815,VBM,890,392,44.04,305,64,,23
7816,Election_Day,837,236,28.2,177,43,,16
7816,VBM,837,396,47.31,322,52,,22
7817,Election_Day,781,268,34.31,213,32,,23
7817,VBM,781,301,38.54,259,26,1,15
7818,Election_Day,828,235,28.38,188,27,,20
7818,VBM,828,323,39.01,262,43,,18
7819,Election_Day,762,213,27.95,179,20,,14
