precinct,ballot_type,registered_voters,ballots_cast,turnout,GEORGE_C_YANG,JERRY_J_LAWS,GAIL_K_LIGHTFOOT,MIKE_BEITIKS,PAMELA_ELIZONDO,SCOTT_A_VINEBERG,STEVE_STOKES,DUF_SUNDHEIM,LING_LING_SHI,LORETTA_L_SANCHEZ,PHIL_WYMAN,JARRELL_WILLIAMSON,THOMAS_G_DEL_BECCARO,RON_UNZ,GREG_CONLON,JASON_KRAUS,DON_KRAMPE,MARK_MATTHEW_HERD,VON_HOUGO,JASON_HANANIA,KAMALA_D_HARRIS,GAR_MYERS,PAUL_MERRITT,MASSIE_MUNROE,ELEANOR_GARCÍA,TIM_GILDERSLEEVE,CLIVE_GREY,DON_J_GRUNDMANN,PRESIDENT_CRISTINA_GRAPPO,HERBERT_G_PETERS,TOM_PALZER,JOHN_THOMPSON_PARKER,KAREN_ROSEBERRY,EMORY_RODGERS,WRITE-IN,over_votes,under_votes
7008,VBM,819,364,44.44,5,,,,3,,1,3,,36,2,,4,2,,,1,,1,1,254,,,1,,2,2,1,,2,,1,,,1,3,38
7009,Election_Day,873,178,20.39,1,1,1,,8,1,1,2,,24,1,,1,,1,,2,6,1,,83,1,1,,1,,1,,2,1,,4,1,,2,,30
7009,VBM,873,319,36.54,2,1,1,1,2,1,3,3,7,24,,,1,,3,,4,1,,4,222,,,1,1,,,,1,,,2,,,,2,32
7011,Election_Day,990,172,17.37,,,4,1,3,,,2,,13,,,,1,,,,1,1,,114,,1,2,2,,1,,5,2,,,,2,2,,15
7011,VBM,990,215,21.72,4,2,,,3,,,1,2,21,,,1,1,,,1,2,,1,138,,,,1,1,,,1,,,1,3,2,1,3,25
7012,Election_Day,937,252,26.89,1,,,2,1,1,2,3,1,22,1,,3,,,,2,5,1,,168,,,1,,,1,1,2,,,,,,,3,31
7012,VBM,937,348,37.14,1,,2,1,4,1,2,4,,31,2,,3,,3,1,6,3,2,,239,,,3,2,,1,1,2,,,2,,,1,2,29
7013,Election_Day,670,128,19.1,1,,,,2,1,3,,1,14,,,,2,,,1,2,,1,83,,,2,1,,,,1,,,1,,,1,,11
7013,VBM,670,263,39.25,2,1,1,1,1,,1,5,,18,1,,5,,2,,,1,,3,180,,,4,,,,,2,,,,2,2,,2,29
7014,Election_Day,971,245,25.23,,,2,,3,1,1,3,,20,,,,,1,,2,3,3,,174,,,2,1,1,,,2,,1,2,,,,,23
7014,VBM,971,333,34.29,,1,3,,3,,4,5,,28,3,,2,2,1,,1,1,,1,239,,,,2,,,1,2,,3,1,,,,2,28
7015,Election_Day,91,2,2.2,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
7015,VBM,91,47,51.65,,,,,2,,,,,3,,,,,,,1,,,,31,,,,,,,,,1,1,1,,,,2,5
7016,Election_Day,885,122,13.79,1,,3,,3,,,,1,16,1,,,,,1,2,2,,1,61,,,4,1,,,,2,3,,,2,,1,1,16
7016,VBM,885,226,25.54,12,1,1,1,2,,3,,2,28,2,,,,1,1,3,,,2,120,,2,3,,1,,1,1,4,,1,,1,1,8,24
7017,Election_Day,721,81,11.23,,,,,2,,2,,,4,,,,,,1,1,,,,54,,,,1,,1,,1,,,,1,,,1,12
7017,VBM,721,149,20.67,3,,,,2,,,,3,13,,,1,,,,1,,,2,101,,,1,1,,3,,1,,1,,,,,6,10
7018,Election_Day,904,105,11.62,2,,,,1,1,2,,1,4,1,,1,,,,1,,,3,64,,,,,1,,,4,2,,2,,,1,3,11
7018,VBM,904,305,33.74,21,1,,,,1,2,4,8,25,2,,,,,,2,2,,1,164,,,7,2,1,1,,3,2,2,1,1,1,3,4,44
7019,Election_Day,883,136,15.4,2,,,,,,4,,,8,,,,1,,,,,1,,96,,,1,2,,,,2,,,,,,1,,18
7019,VBM,883,319,36.13,9,1,1,3,5,2,3,,6,16,2,2,,2,6,1,2,2,4,,210,1,,1,,,,,4,1,,2,,1,4,4,24
7021,Election_Day,910,146,16.04,,,,1,4,,,,,12,1,,,,,,1,,1,,90,,,5,2,,,,3,,,,1,,,2,23
7021,VBM,910,230,25.27,2,,,1,,1,2,,3,21,1,10,,,1,,5,,,,141,3,,2,1,,,,2,1,1,,1,,,4,27
7022,Election_Day,969,158,16.31,,,,1,1,,1,,1,4,,,,1,,,,2,,,126,,,4,1,1,,1,,,,,,,,,14
7022,VBM,969,247,25.49,6,1,1,,1,,4,,7,22,2,1,,1,,2,1,,,3,155,,,6,6,,,,,4,,,,,2,3,19
7023,Election_Day,878,136,15.49,,3,,1,1,,2,,,14,,,1,1,,,,,,1,88,1,1,1,1,,1,,3,,,,1,,1,,14
7023,VBM,878,254,28.93,,,1,1,2,2,,3,3,22,1,,1,,,,2,,1,3,171,,,3,2,,,,2,,,,,,1,6,27
7024,Election_Day,290,20,6.9,,1,,,,,,,,2,,,,,,,,,,,12,,,,,,,,,,,1,,,,,4
7024,VBM,290,23,7.93,,,,,,,,,2,1,,,,,2,,,,,,13,,,,,,,1,,,,,1,1,,2,
7025,Election_Day,460,59,12.83,,,1,,1,,,,,7,1,,,,,,,,,,39,,,,,,,,,,,1,,,,,9
7025,VBM,460,84,18.26,,,2,,1,1,,,1,10,,,,,,,,,,,51,,,,,,,,1,1,,,,,,4,12
7026,Election_Day,927,110,11.87,4,,1,,4,1,7,,3,10,,,,,,1,,2,1,1,50,,,2,1,,,1,2,,,1,,1,1,,16
7026,VBM,927,337,36.35,38,1,1,,,7,6,4,17,24,,,1,2,4,1,2,2,5,,163,,,3,1,,1,,2,2,1,2,,1,2,8,36
7027,Election_Day,823,145,17.62,1,,1,,1,2,,1,2,13,1,,,,,,,1,,1,90,,,,1,,1,,,2,,1,1,1,3,2,19
7027,VBM,823,243,29.53,12,2,,,2,1,4,,11,17,1,,,,5,,1,1,1,1,148,,,2,1,1,1,,2,,,1,1,1,1,6,19
7028,Election_Day,838,145,17.3,,,1,1,6,1,,,1,17,1,,,,,,,,,4,96,,,2,,,,1,1,1,,1,,,,1,10
7028,VBM,838,178,21.24,2,,,,4,1,5,,2,16,,,,,,,,1,1,,117,,1,1,4,,,,2,,1,1,2,2,,1,14
7029,Election_Day,853,102,11.96,,,,1,,,,,,4,,1,,,,,1,,,,71,,1,1,1,,1,,3,,,1,,1,,1,14
7029,VBM,853,152,17.82,6,,1,,1,3,,,,4,,,,,2,,3,1,,,103,,,1,,,,1,,3,,1,1,1,1,7,12
7030,Election_Day,727,79,10.87,2,,,,1,,2,1,,10,1,,,1,1,,3,1,,,42,,,,,,,,2,,,,2,,,1,9
7030,VBM,727,236,32.46,24,,1,,1,1,,2,12,30,2,1,,,1,,2,1,5,1,98,1,1,2,,,1,,2,1,1,,1,1,1,3,39
7031,Election_Day,412,39,9.47,1,,,,,1,1,,1,1,,,,,,,,,,,26,,,,,,,,1,,,,,,,1,6
7031,VBM,412,179,43.45,17,2,,1,2,,3,,7,18,,,3,1,2,1,2,2,1,1,79,,1,1,1,1,1,,3,,1,2,,,4,1,21
7032,Election_Day,857,132,15.4,1,,1,1,4,,1,,1,14,,,1,,,,,1,1,1,72,,,,3,,,,3,1,1,,,2,,3,20
7032,VBM,857,229,26.72,4,,1,1,2,,1,,6,20,2,,2,,4,,,,4,4,139,2,,4,,1,,,1,5,1,1,,4,,4,16
7033,Election_Day,767,150,19.56,,,1,,1,,1,1,,18,2,1,,1,1,,,2,1,,89,,,3,2,,,,1,1,,,,1,,3,20
7033,VBM,767,159,20.73,5,1,,1,1,,1,,3,22,,,2,,,,1,3,,,95,,,,2,,,,1,,,1,1,3,2,5,9
7034,Election_Day,875,97,11.09,1,,1,,1,3,2,1,,3,,2,,,,,1,,,,58,1,1,1,2,,,,1,1,,,,1,,,16
7034,VBM,875,143,16.34,,,1,,1,,,1,,9,,,,,,,,3,1,1,108,,,1,,,,,3,1,,,1,,,4,8
7035,Election_Day,386,72,18.65,1,,,,,,4,,,4,,,,,1,,,1,,,47,,,2,1,,,,,1,,1,,,,,9
7035,VBM,386,112,29.02,3,1,1,,,1,1,,,8,,,1,1,1,,1,,,,78,,1,1,,,1,,1,,2,,,,,2,7
7036,Election_Day,862,93,10.79,,,1,,2,,1,,1,9,,,,,1,,1,2,1,,49,,,2,2,,,,4,,1,2,2,,,3,9
7036,VBM,862,232,26.91,9,,2,,1,,3,2,3,38,2,,1,1,,,3,,,6,110,,,2,1,,4,,5,1,3,6,5,,,8,16
7037,Election_Day,762,85,11.15,,,,,1,1,3,,,10,,1,,,,1,1,2,,1,33,1,,4,,1,,,1,2,,1,,1,1,3,16
7037,VBM,762,70,9.19,7,,1,,,,,,2,7,,,,,,,2,,,,28,,,1,2,,1,,3,,,3,,,1,2,10
7038,Election_Day,874,90,10.3,1,,,,,,1,,1,8,,,1,,,,,2,2,,48,,,,2,1,2,,,,,2,,,,5,14
