precinct,ballot_type,registered,ballots_cast,turnout,GARY_JOHNSON,MARC_FELDMAN,RHETT_WHITE_FEATHER_SMITH,JOY_WAYMIRE,STEVE_KERBEL,JOHN_HALE,JOHN_MCAFEE,CECIL_INCE,AUSTIN_PETERSEN,DARRYL_W._PERRY,DERRICK_M._REID,"JACK_ROBINSON,_JR.",WRITE-IN,over_votes,under_votes
7328,VBM,3,5,166.67,,,,,4,,,,,,,,1,,
7329,Election_Day,7,2,28.57,1,,,,,,,,,,,,,,1
7329,VBM,7,3,42.86,,,,,,,,,,1,,1,,,1
7331,Election_Day,6,0,0,,,,,,,,,,,,,,,
7331,VBM,6,1,16.67,1,,,,,,,,,,,,,,
7332,Election_Day,7,3,42.86,1,,,,,,,,,,,,1,,1
7332,VBM,7,2,28.57,2,,,,,,,,,,,,,,
7333,Election_Day,11,2,18.18,2,,,,,,,,,,,,,,
7333,VBM,11,3,27.27,3,,,,,,,,,,,,,,
7334,Election_Day,4,1,25,1,,,,,,,,,,,,,,
7334,VBM,4,1,25,,,,,,,,,,,,,,,1
7335,Election_Day,9,3,33.33,2,,,,,,,,,,,,,,1
7335,VBM,9,0,0,,,,,,,,,,,,,,,
7336,Election_Day,6,0,0,,,,,,,,,,,,,,,
7336,VBM,6,1,16.67,1,,,,,,,,,,,,,,
7337,Election_Day,6,0,0,,,,,,,,,,,,,,,
7337,VBM,6,0,0,,,,,,,,,,,,,,,
7338,Election_Day,2,0,0,,,,,,,,,,,,,,,
7338,VBM,2,3,150,,,,,,,,,1,,,,,,2
7339,Election_Day,13,3,23.08,2,,,,,,,,,,,,1,,
7339,VBM,13,0,0,,,,,,,,,,,,,,,
7341,Election_Day,7,0,0,,,,,,,,,,,,,,,
7341,VBM,7,1,14.29,1,,,,,,,,,,,,,,
7342,Election_Day,12,4,33.33,1,,,,,,1,,,,,,1,,1
7342,VBM,12,5,41.67,3,,,,,,,,,,,,1,,1
7343,Election_Day,5,2,40,1,,,,,,,,,,,,,,1
7343,VBM,5,1,20,1,,,,,,,,,,,,,,
7344,Election_Day,10,1,10,,,,,,,,,,,,,,,1
7344,VBM,10,4,40,2,1,,,,,,,,,1,,,,
7345,Election_Day,6,3,50,3,,,,,,,,,,,,,,
7345,VBM,6,0,0,,,,,,,,,,,,,,,
7346,Election_Day,4,0,0,,,,,,,,,,,,,,,
7346,VBM,4,1,25,,,,,,,,,,,,,1,,
7347,Election_Day,9,0,0,,,,,,,,,,,,,,,
7347,VBM,9,0,0,,,,,,,,,,,,,,,
7348,Election_Day,8,1,12.5,1,,,,,,,,,,,,,,
7348,VBM,8,3,37.5,,,,,1,,,,,,,,2,,
7349,Election_Day,7,2,28.57,1,,,,,,,,,,,,,,1
7349,VBM,7,1,14.29,1,,,,,,,,,,,,,,
7501,Election_Day,5,1,20,1,,,,,,,,,,,,,,
7501,VBM,5,2,40,1,,,,,,1,,,,,,,,
7502,Election_Day,4,1,25,1,,,,,,,,,,,,,,
7502,VBM,4,0,0,,,,,,,,,,,,,,,
7503,Election_Day,4,1,25,,,,,,,,,,,,,,,1
7503,VBM,4,1,25,1,,,,,,,,,,,,,,
7504,Election_Day,4,0,0,,,,,,,,,,,,,,,
7504,VBM,4,4,100,1,,,,1,,1,,1,,,,,,
7505,Election_Day,2,0,0,,,,,,,,,,,,,,,
7505,VBM,2,3,150,1,,,,1,,,,,,,,,,1
7506,Election_Day,10,1,10,,,,,,,,,,,,,1,,
7506,VBM,10,3,30,2,,1,,,,,,,,,,,,
7507,Election_Day,4,0,0,,,,,,,,,,,,,,,
7507,VBM,4,4,100,1,1,,1,1,,,,,,,,,,
7508,Election_Day,5,0,0,,,,,,,,,,,,,,,
7508,VBM,5,2,40,1,,,,,,,,,,,,1,,
7509/7511,Election_Day,2,0,0,,,,,,,,,,,,,,,
7509/7511,VBM,2,0,0,,,,,,,,,,,,,,,
7512,Election_Day,1,0,0,,,,,,,,,,,,,,,
7512,VBM,1,1,100,,,,,,,,,,,,,1,,
7513,Election_Day,4,2,50,1,,,,,,1,,,,,,,,
7513,VBM,4,0,0,,,,,,,,,,,,,,,
7514,Election_Day,1,0,0,,,,,,,,,,,,,,,
7514,VBM,1,1,100,,,,,,,,1,,,,,,,
7515,Election_Day,2,1,50,,,,,,,,,,,,,,,1
7515,VBM,2,0,0,,,,,,,,,,,,,,,
7516,Election_Day,6,1,16.67,1,,,,,,,,,,,,,,
7516,VBM,6,2,33.33,,,,,,,,,,,,1,,,1
7517,Election_Day,7,2,28.57,1,,,,1,,,,,,,,,,
7517,VBM,7,0,0,,,,,,,,,,,,,,,
7518,Election_Day,4,1,25,1,,,,,,,,,,,,,,
7518,VBM,4,0,0,,,,,,,,,,,,,,,
7519,Election_Day,9,1,11.11,,,,,,,,,,,,,,,1
7519,VBM,9,2,22.22,1,,,,,,,,1,,,,,,
7521,Election_Day,3,0,0,,,,,,,,,,,,,,,
7521,VBM,3,0,0,,,,,,,,,,,,,,,
7522,Election_Day,4,2,50,,,,,1,,,,,,,,,,1
7522,VBM,4,1,25,,,1,,,,,,,,,,,,
7523,Election_Day,4,1,25,,,,,,,,,,,,,,,1
7523,VBM,4,0,0,,,,,,,,,,,,,,,
7524,Election_Day,3,0,0,,,,,,,,,,,,,,,
7524,VBM,3,2,66.67,1,,,,1,,,,,,,,,,
7525,Election_Day,3,2,66.67,1,,,,1,,,,,,,,,,
7525,VBM,3,0,0,,,,,,,,,,,,,,,
7526,Election_Day,5,1,20,1,,,,,,,,,,,,,,
7526,VBM,5,0,0,,,,,,,,,,,,,,,
7527/7528,Election_Day,4,0,0,,,,,,,,,,,,,,,
7527/7528,VBM,4,0,0,,,,,,,,,,,,,,,
7529,Election_Day,5,2,40,1,,,,,,,,,,,,1,,
7529,VBM,5,2,40,1,,,,,,1,,,,,,,,
7531,Election_Day,6,0,0,,,,,,,,,,,,,,,
7531,VBM,6,1,16.67,,,1,,,,,,,,,,,,
7532,Election_Day,5,1,20,,,,,,,,,,,,,,,1
7532,VBM,5,3,60,2,,,,,,,,,,,,1,,
7533,Election_Day,6,2,33.33,1,,,,,,,,,,,,,,1
7533,VBM,6,1,16.67,1,,,,,,,,,,,,,,
7534,Election_Day,6,1,16.67,,,,,,,,,,,,,1,,
7534,VBM,6,2,33.33,1,,,,,,,,,,,,,,1
7535,Election_Day,5,1,20,,,,,,,,,,,,,1,,
7535,VBM,5,4,80,3,,,,,,,,,,,,1,,
7536,Election_Day,5,1,20,,,,1,,,,,,,,,,,
7536,VBM,5,1,20,1,,,,,,,,,,,,,,
7537,Election_Day,5,2,40,1,,,,,,1,,,,,,,,
7537,VBM,5,1,20,1,,,,,,,,,,,,,,
7538,Election_Day,7,4,57.14,1,,,,,,,,,,,1,1,,1
7538,VBM,7,0,0,,,,,,,,,,,,,,,
7539,Election_Day,2,2,100,1,,1,,,,,,,,,,,,
7539,VBM,2,1,50,1,,,,,,,,,,,,,,
7541,Election_Day,3,0,0,,,,,,,,,,,,,,,
7541,VBM,3,0,0,,,,,,,,,,,,,,,
7542,Election_Day,3,1,33.33,,,,,,,,,,,,,,,1
7542,VBM,3,1,33.33,1,,,,,,,,,,,,,,
7543,Election_Day,3,0,0,,,,,,,,,,,,,,,
7543,VBM,3,0,0,,,,,,,,,,,,,,,
7544,Election_Day,3,3,100,2,,,,,,,,,,,,,,1
7544,VBM,3,1,33.33,,,,,,,1,,,,,,,,
7545,Election_Day,7,4,57.14,1,,,,,1,1,,,,,,,,1
7545,VBM,7,3,42.86,3,,,,,,,,,,,,,,
7546,Election_Day,6,1,16.67,1,,,,,,,,,,,,,,
7546,VBM,6,1,16.67,1,,,,,,,,,,,,,,
7547,Election_Day,10,3,30,,,,,,,1,,,,,,,,2
7547,VBM,10,0,0,,,,,,,,,,,,,,,
7548,Election_Day,8,0,0,,,,,,,,,,,,,,,
7548,VBM,8,3,37.5,3,,,,,,,,,,,,,,
7549,Election_Day,3,3,100,2,,,,,,,,,,,,1,,
7549,VBM,3,0,0,,,,,,,,,,,,,,,
7551,Election_Day,1,1,100,,,,,,,,,,,,,1,,
7551,VBM,1,0,0,,,,,,,,,,,,,,,
7552,Election_Day,2,1,50,,,,,,,,,,,,,,,1
7552,VBM,2,1,50,,,,,,,1,,,,,,,,
7553,Election_Day,0,0,0,,,,,,,,,,,,,,,
7553,VBM,0,0,0,,,,,,,,,,,,,,,
