precinct,ballot_type,registered,ballots_cast,turnout,ROBERT_ORNELAS,ALAN_SPEARS,WILEY_DRAKE,JAMES_HEDGES,THOMAS_HOEFLING,ARTHUR_HARRIS,J.R._MYERS,WRITE-IN,over_votes,under_votes
7342,Election_Day,23,2,8.7,,,,,,1,,,,1
7342,VBM,23,6,26.09,,1,,,,,,4,,1
7343,Election_Day,15,4,26.67,,,1,,,,,1,,2
7343,VBM,15,2,13.33,,,,,,,,2,,
7344,Election_Day,17,4,23.53,,1,,,,,,2,,1
7344,VBM,17,3,17.65,1,,,,,,,,,2
7345,Election_Day,18,0,0,,,,,,,,,,
7345,VBM,18,8,44.44,,,1,,,,,3,,4
7346,Election_Day,9,2,22.22,,,,,,,,1,,1
7346,VBM,9,1,11.11,,,,,1,,,,,
7347,Election_Day,23,3,13.04,,,,,,,,2,,1
7347,VBM,23,0,0,,,,,,,,,,
7348,Election_Day,12,0,0,,,,,,,,,,
7348,VBM,12,4,33.33,,,,,,,,2,,2
7349,Election_Day,19,1,5.26,,,,,1,,,,,
7349,VBM,19,4,21.05,1,1,,,,,,1,,1
7501,Election_Day,9,0,0,,,,,,,,,,
7501,VBM,9,1,11.11,,,,,,,,1,,
7502,Election_Day,16,3,18.75,,1,,,,,,1,,1
7502,VBM,16,4,25,,,,,,1,,2,,1
7503,Election_Day,14,4,28.57,,,,,,,,,,4
7503,VBM,14,4,28.57,,,,,,,,1,,3
7504,Election_Day,6,1,16.67,,,,,,,,,,1
7504,VBM,6,1,16.67,,,,,,,,1,,
7505,Election_Day,14,3,21.43,,,,,,1,,1,,1
7505,VBM,14,10,71.43,2,1,,,,2,,1,,4
7506,Election_Day,17,4,23.53,,,,,,,,2,,2
7506,VBM,17,5,29.41,,,,,,1,,2,,2
7507,Election_Day,12,0,0,,,,,,,,,,
7507,VBM,12,2,16.67,,,,,,1,,1,,
7508,Election_Day,12,3,25,,,,,,,,,,3
7508,VBM,12,4,33.33,,,,,,,,1,,3
7509/7511,Election_Day,8,3,37.5,,,,,,1,1,,,1
7509/7511,VBM,8,2,25,,,,,,,,,,2
7512,Election_Day,7,1,14.29,,,,,,,,1,,
7512,VBM,7,5,71.43,,1,2,,,1,,,,1
7513,Election_Day,8,4,50,,,,,,,,,,4
7513,VBM,8,0,0,,,,,,,,,,
7514,Election_Day,14,0,0,,,,,,,,,,
7514,VBM,14,3,21.43,,1,,,,1,,1,,
7515,Election_Day,10,0,0,,,,,,,,,,
7515,VBM,10,2,20,,,,1,,,,,,1
7516,Election_Day,12,3,25,,1,,,,,,,,2
7516,VBM,12,4,33.33,,,,,,,,3,,1
7517,Election_Day,23,6,26.09,,1,1,,,,,,,4
7517,VBM,23,4,17.39,1,,,,,,,2,,1
7518,Election_Day,16,6,37.5,,,,,,,,2,,4
7518,VBM,16,4,25,,,,,1,,,,,3
7519,Election_Day,18,5,27.78,,,,,,,,1,,4
7519,VBM,18,4,22.22,,,,,,1,,1,,2
7521,Election_Day,12,3,25,,,,,,,,,,3
7521,VBM,12,1,8.33,,,,,,,,1,,
7522,Election_Day,13,2,15.38,,,1,,,,,,,1
7522,VBM,13,2,15.38,,,,,1,,,,,1
7523,Election_Day,11,6,54.55,,,1,,1,1,,,,3
7523,VBM,11,1,9.09,,,,,,,,,,1
7524,Election_Day,11,2,18.18,,,,,,1,,,,1
7524,VBM,11,3,27.27,,,,,,,,1,,2
7525,Election_Day,15,4,26.67,,,,,,,,,,4
7525,VBM,15,3,20,,,,,,,1,1,,1
7526,Election_Day,15,4,26.67,,,,,,,,1,,3
7526,VBM,15,4,26.67,,1,,,,,,1,,2
7527/7528,Election_Day,19,6,31.58,,1,,,,1,,,,4
7527/7528,VBM,19,4,21.05,,,,2,,,,2,,
7529,Election_Day,17,4,23.53,,,,,,,,2,,2
7529,VBM,17,1,5.88,,,,,,,,,,1
7531,Election_Day,18,6,33.33,,1,,,,,,,,5
7531,VBM,18,1,5.56,,,,,,,,,,1
7532,Election_Day,14,2,14.29,,,,,,,,1,,1
7532,VBM,14,4,28.57,,,,,,,,2,,2
7533,Election_Day,16,5,31.25,,,,2,,,,1,,2
7533,VBM,16,3,18.75,,,,,,,,1,,2
7534,Election_Day,14,2,14.29,,,,,,,,1,,1
7534,VBM,14,2,14.29,,,,,1,,,,,1
7535,Election_Day,5,1,20,,,,,,,,,,1
7535,VBM,5,1,20,,,,,,,,,,1
7536,Election_Day,11,2,18.18,,,,,,,,,,2
7536,VBM,11,3,27.27,,,,,,,,2,,1
7537,Election_Day,15,6,40,,1,,,,1,,1,,3
7537,VBM,15,2,13.33,,,,,,,,,,2
7538,Election_Day,7,0,0,,,,,,,,,,
7538,VBM,7,1,14.29,,,,,,,,,,1
7539,Election_Day,8,1,12.5,,,,,,,,1,,
7539,VBM,8,1,12.5,,,,,,,,,,1
7541,Election_Day,10,3,30,1,,,,,,,,,2
7541,VBM,10,3,30,,,,2,,1,,,,
7542,Election_Day,15,0,0,,,,,,,,,,
7542,VBM,15,3,20,,,,,1,,,1,,1
7543,Election_Day,16,1,6.25,,,,,,,,,,1
7543,VBM,16,5,31.25,,,1,,,,,1,,3
7544,Election_Day,16,4,25,,,2,,,,,1,,1
7544,VBM,16,1,6.25,,,,,,,,1,,
7545,Election_Day,13,2,15.38,,,,,,,,1,,1
7545,VBM,13,4,30.77,,,,,,,,3,,1
7546,Election_Day,15,5,33.33,1,2,,,,,,,,2
7546,VBM,15,4,26.67,,,1,,,,,1,,2
7547,Election_Day,11,1,9.09,,,,,,,,,,1
7547,VBM,11,1,9.09,,,,,,,,,,1
7548,Election_Day,22,2,9.09,,1,,,,,,,,1
7548,VBM,22,2,9.09,,,1,,,,,,,1
7549,Election_Day,8,2,25,,1,,,,,,,,1
7549,VBM,8,2,25,,1,,,,,,,,1
7551,Election_Day,13,2,15.38,,,,,,,,,,2
7551,VBM,13,3,23.08,,,1,,,,,,,2
7552,Election_Day,10,2,20,,,,,,,,,,2
7552,VBM,10,2,20,,,,,,,,1,,1
7553,Election_Day,2,0,0,,,,,,,,,,
7553,VBM,2,1,50,,,,,1,,,,,
7554,Election_Day,11,3,27.27,,,,,,,,1,,2
7554,VBM,11,4,36.36,,,,,,,,,,4
7555,Election_Day,11,3,27.27,,,,,,,,1,,2
7555,VBM,11,1,9.09,,,,,,1,,,,
7556/7557,Election_Day,15,1,6.67,,,,,,,,,,1
7556/7557,VBM,15,5,33.33,,,1,,,1,,,,3
7601,Election_Day,28,5,17.86,,,,1,,,,3,,1
7601,VBM,28,4,14.29,,,,,1,1,,2,,
7602,Election_Day,20,2,10,,,,,1,,,,,1
7602,VBM,20,9,45,2,2,2,,,1,,2,,
7603,Election_Day,15,2,13.33,,,,,,,,1,,1
7603,VBM,15,4,26.67,,,,,,,,3,,1
7604,Election_Day,21,4,19.05,1,,,1,,,,2,,
7604,VBM,21,9,42.86,,,,1,2,1,,1,,4
7605,Election_Day,25,2,8,,,,,,,,,,2
7605,VBM,25,2,8,,,,,,,,,,2
7606,Election_Day,15,2,13.33,,,,,,,,1,,1
7606,VBM,15,10,66.67,,,1,1,,1,,4,,3
7607,Election_Day,17,5,29.41,,,1,,,1,,2,,1
7607,VBM,17,4,23.53,,,,,,,,2,,2
7608,Election_Day,8,0,0,,,,,,,,,,
7608,VBM,8,5,62.5,1,,1,,,1,,1,,1
7609,Election_Day,23,2,8.7,,,,,,1,,,,1
7609,VBM,23,8,34.78,1,1,,,,,,5,,1
7611,Election_Day,21,1,4.76,,,,,,,,1,,
7611,VBM,21,9,42.86,,,,,,,1,2,,6
7612,Election_Day,17,1,5.88,,,,,,,,,,1
7612,VBM,17,3,17.65,,,3,,,,,,,
7613,Election_Day,19,7,36.84,,1,,,,,,4,,2
7613,VBM,19,6,31.58,,,,,,,,1,,5
7614,Election_Day,14,4,28.57,1,,,,,,,2,,1
