precinct,ballot_type,registered,ballots_cast,turnout,TROY_BODNAR,MATTHEW_DEL_CARLO,HARMEET_K._DHILLON,JASON_P._CLARK,CHRIS_CHENG,CHRISTINE_HUGHES,MASON_HARRISON,CHANTAL_ANDERSON,LAUREN_R._AMMATUNA,BARRY_A._GRAYNOR,LISA_REMMER,SARVJIT_S._RANDHAWA,WRITE-IN,over_votes,under_votes
7030,Election_Day,47,6,12.77,2,2,2,3,3,3,2,2,2,3,3,,,,39
7030,VBM,47,11,23.4,4,3,2,1,3,4,3,2,3,1,4,3,,,88
7031,Election_Day,12,1,8.33,,,,,,,,,,,,,,,11
7031,VBM,12,3,25,,,,,,,,,,,1,,,,32
7032,Election_Day,38,3,7.89,,1,,1,1,1,,,,1,1,,,,27
7032,VBM,38,8,21.05,2,4,2,4,2,3,2,2,1,3,3,1,3,,56
7033,Election_Day,30,3,10,1,1,1,1,,1,1,1,1,1,1,1,,,22
7033,VBM,30,6,20,4,3,3,2,2,3,2,3,2,3,3,4,,,32
7034,Election_Day,32,2,6.25,,,,1,,,,,1,,,,,,20
7034,VBM,32,6,18.75,3,3,1,1,1,2,3,2,2,1,3,2,1,,41
7035,Election_Day,23,2,8.7,1,1,1,,,1,,1,1,,1,1,,,14
7035,VBM,23,7,30.43,1,,1,1,2,1,1,1,1,1,2,1,,,64
7036,Election_Day,70,4,5.71,,,1,,,1,,,,,1,,,11,30
7036,VBM,70,19,27.14,9,7,9,10,5,9,7,7,6,9,9,5,,,117
7037,Election_Day,23,2,8.7,,1,,1,,1,1,,1,,1,,,,16
7037,VBM,23,1,4.35,,,,,1,,,,,,,,,,10
7038,Election_Day,44,3,6.82,,3,,,1,,,1,1,,1,,,,26
7038,VBM,44,9,20.45,6,3,4,3,3,5,5,3,3,3,6,5,,,50
7039,Election_Day,42,7,16.67,,2,1,1,3,,2,,,,1,2,,,65
7039,VBM,42,9,21.43,1,2,1,2,4,3,3,2,2,2,4,2,11,,60
7041,Election_Day,6,0,0,,,,,,,,,,,,,,,
7041,VBM,6,4,66.67,,1,1,1,1,2,1,1,1,2,,1,,,32
7042,Election_Day,34,7,20.59,3,4,3,5,2,3,3,3,2,2,3,2,,,42
7042,VBM,34,12,35.29,7,7,5,6,7,8,6,6,5,4,6,1,,,64
7043,Election_Day,47,5,10.64,1,2,,,1,,1,,,,1,,,,49
7043,VBM,47,13,27.66,4,6,5,6,6,6,5,4,4,5,6,3,,,83
7044,Election_Day,32,2,6.25,,,,,,,,,,,,,,,22
7044,VBM,32,5,15.63,1,2,1,1,2,1,1,1,1,2,1,,,,41
7045,Election_Day,43,7,16.28,2,4,1,2,2,3,2,2,1,1,3,1,,,53
7045,VBM,43,10,23.26,3,3,3,3,6,5,4,1,2,2,3,2,,,73
7046,Election_Day,25,0,0,,,,,,,,,,,,,,,
7046,VBM,25,9,36,2,2,3,2,1,4,2,1,1,3,3,,,,75
7047,Election_Day,42,6,14.29,1,1,2,3,1,1,1,2,2,1,3,2,,,46
7047,VBM,42,10,23.81,5,7,7,5,5,7,7,7,6,7,6,7,3,,31
7048,Election_Day,33,3,9.09,,,,,,,,,,,,,,,33
7048,VBM,33,9,27.27,3,3,2,3,4,1,2,2,3,2,3,3,,,68
7049,Election_Day,55,4,7.27,1,,,1,1,,1,,1,,,1,,,38
7049,VBM,55,18,32.73,6,6,5,7,5,7,5,5,6,6,7,5,1,,127
7051,Election_Day,73,7,9.59,2,2,1,1,2,3,3,3,1,1,2,1,,,55
7051,VBM,73,24,32.88,7,10,7,10,10,9,8,6,8,8,10,12,,,159
7052,Election_Day,47,5,10.64,3,2,1,1,1,3,1,1,1,1,2,2,,,36
7052,VBM,47,20,42.55,7,8,4,6,10,4,5,6,4,3,6,6,2,,149
7053,Election_Day,42,1,2.38,,,,,,,,,,,,,,,11
7053,VBM,42,16,38.1,8,10,4,8,9,8,7,8,4,7,5,5,,,93
7054,Election_Day,35,4,11.43,3,2,2,2,2,2,2,2,1,2,,2,,,22
7054,VBM,35,7,20,2,1,3,2,1,3,2,3,3,2,2,2,,,51
7101,Election_Day,2,0,0,,,,,,,,,,,,,,,
7101,VBM,2,1,50,1,1,1,1,1,1,1,1,,1,1,1,,,
7201,Election_Day,132,10,7.58,1,2,2,2,4,1,1,,,1,1,1,,11,83
7201,VBM,132,45,34.09,9,24,13,12,13,15,16,11,10,9,10,12,2,,339
7202,Election_Day,146,15,10.27,1,3,1,2,2,,3,,,2,1,,,,150
7202,VBM,146,57,39.04,14,18,17,18,18,12,15,13,6,17,15,14,,,450
7203,Election_Day,90,12,13.33,2,2,2,3,3,3,2,2,,,1,3,,,109
7203,VBM,90,29,32.22,3,8,7,7,6,8,7,7,4,6,5,4,1,,246
7204,Election_Day,101,17,16.83,2,6,2,3,3,4,5,3,2,1,4,4,,,148
7204,VBM,101,30,29.7,5,9,8,10,7,9,9,5,5,9,6,7,,,241
7205,Election_Day,136,15,11.03,3,3,7,4,3,4,2,5,4,3,4,3,,,120
7205,VBM,136,52,38.24,6,10,11,12,10,8,8,7,5,8,5,7,,,475
7206,Election_Day,37,5,13.51,2,3,2,2,2,3,4,2,,2,2,2,,,29
7206,VBM,37,12,32.43,1,5,1,1,5,1,1,1,1,1,1,,,,113
7207,Election_Day,59,7,11.86,1,2,1,,1,,,,,1,,1,,,70
7207,VBM,59,18,30.51,3,7,6,3,3,3,5,3,,3,4,4,,,154
7208,Election_Day,59,4,6.78,2,2,1,2,2,1,2,2,2,2,2,2,,,22
7208,VBM,59,26,44.07,9,13,5,5,10,5,10,11,1,4,7,8,,,198
7209,Election_Day,103,7,6.8,3,2,2,2,1,3,1,1,1,1,2,1,,,57
7209,VBM,103,63,61.17,15,22,23,22,22,20,20,18,8,21,14,14,,,474
7301,Election_Day,85,10,11.76,2,4,2,2,3,3,2,2,2,1,3,2,,,82
7301,VBM,85,27,31.76,3,12,4,3,4,3,4,2,1,2,4,2,,,253
7302,Election_Day,88,9,10.23,,3,,,2,2,1,1,3,1,2,1,,,83
7302,VBM,88,50,56.82,14,22,18,15,19,14,16,16,8,14,16,10,1,,367
7303,Election_Day,87,16,18.39,2,3,2,4,4,3,5,4,3,2,3,1,,,140
7303,VBM,87,21,24.14,3,2,4,4,7,5,4,2,2,3,3,3,10,,179
7304,Election_Day,94,13,13.83,2,4,1,,2,2,2,3,1,1,4,3,,,118
7304,VBM,94,32,34.04,2,8,5,6,11,3,6,6,1,2,2,4,,,296
7305,Election_Day,124,18,14.52,3,3,7,5,5,3,5,4,4,5,4,6,,,144
7305,VBM,124,55,44.35,8,17,9,9,4,7,6,6,4,5,6,6,1,,517
7306,Election_Day,88,6,6.82,1,2,2,2,1,1,2,1,1,1,,1,,,51
7306,VBM,88,29,32.95,6,10,8,7,13,6,8,6,4,6,7,6,8,,224
