precinct,ballot_type,registered,ballots_cast,turnout,JANE_KIM,SCOTT_WIENER,KEN_LOO,WRITE-IN,over_votes,under_votes
7326,Election_Day,808,174,21.53,74,60,15,,,25
7326,VBM,808,253,31.31,97,106,25,,2,23
7327,Election_Day,701,58,8.27,31,20,2,,,5
7327,VBM,701,269,38.37,152,78,23,,,16
7328,Election_Day,936,80,8.55,43,22,4,,,11
7328,VBM,936,361,38.57,155,155,34,,,17
7329,Election_Day,543,78,14.36,24,34,12,,,8
7329,VBM,543,203,37.38,72,89,30,,1,11
7331,Election_Day,831,183,22.02,54,70,28,,,31
7331,VBM,831,345,41.52,115,152,53,,,25
7332,Election_Day,782,189,24.17,103,56,8,1,,21
7332,VBM,782,248,31.71,119,88,15,2,1,23
7333,Election_Day,936,232,24.79,114,77,17,1,,23
7333,VBM,936,270,28.85,117,100,25,2,,26
7334,Election_Day,833,179,21.49,88,55,15,1,,20
7334,VBM,833,281,33.73,129,109,19,,,24
7335,Election_Day,883,169,19.14,73,63,13,,,20
7335,VBM,883,343,38.84,122,144,46,1,1,29
7336,Election_Day,879,190,21.62,99,53,10,,,28
7336,VBM,879,338,38.45,108,132,60,,1,37
7337,Election_Day,829,142,17.13,68,47,10,,1,16
7337,VBM,829,344,41.5,119,136,49,,2,38
7338,Election_Day,912,122,13.38,50,43,10,,1,18
7338,VBM,912,351,38.49,134,149,42,,1,25
7339,Election_Day,585,142,24.27,71,40,13,2,,16
7339,VBM,585,173,29.57,72,79,13,,1,8
7341,Election_Day,868,192,22.12,92,66,10,,1,23
7341,VBM,868,245,28.23,100,104,16,,,25
7342,Election_Day,908,271,29.85,141,84,21,2,1,22
7342,VBM,908,262,28.85,114,92,26,2,,28
7343,Election_Day,647,178,27.51,98,38,12,,,30
7343,VBM,647,181,27.98,95,62,8,,,16
7344,Election_Day,1024,213,20.8,114,68,10,1,,20
7344,VBM,1024,357,34.86,158,136,35,,,28
7345,Election_Day,1006,241,23.96,134,72,10,,,25
7345,VBM,1006,322,32.01,153,119,18,,,32
7346,Election_Day,869,216,24.86,137,49,12,1,,17
7346,VBM,869,237,27.27,118,74,22,,2,21
7347,Election_Day,954,201,21.07,105,67,10,2,,17
7347,VBM,954,319,33.44,161,96,24,,4,34
7348,Election_Day,808,147,18.19,82,45,11,,,9
7348,VBM,808,238,29.46,97,96,16,,1,28
7349,Election_Day,893,187,20.94,99,47,13,1,,27
7349,VBM,893,298,33.37,110,127,32,1,,28
7501,Election_Day,523,142,27.15,46,67,14,,,15
7501,VBM,523,166,31.74,46,77,20,,,23
7502,Election_Day,735,160,21.77,72,62,11,,,15
7502,VBM,735,267,36.33,94,103,36,2,1,31
7503,Election_Day,706,159,22.52,67,64,10,,,18
7503,VBM,706,218,30.88,79,91,20,,,28
7504,Election_Day,454,98,21.59,57,30,2,2,,7
7504,VBM,454,143,31.5,59,58,13,1,2,10
7505,Election_Day,853,149,17.47,59,63,7,,,20
7505,VBM,853,427,50.06,119,225,42,,2,39
7506,Election_Day,908,205,22.58,97,68,10,,,30
7506,VBM,908,271,29.85,98,117,26,,1,29
7507,Election_Day,927,149,16.07,88,46,2,,,13
7507,VBM,927,266,28.69,145,84,20,1,,16
7508,Election_Day,683,122,17.86,49,52,9,1,1,10
7508,VBM,683,308,45.1,121,126,35,,,26
7509/7511,Election_Day,896,196,21.88,96,74,10,,,16
7509/7511,VBM,896,325,36.27,110,164,28,1,,22
7512,Election_Day,579,98,16.93,43,38,4,,,13
7512,VBM,579,220,38,66,98,29,2,2,23
7513,Election_Day,735,173,23.54,86,51,3,,,33
7513,VBM,735,187,25.44,76,68,21,,1,21
7514,Election_Day,803,92,11.46,50,23,3,,,16
7514,VBM,803,194,24.16,79,86,12,,,17
7515,Election_Day,826,158,19.13,78,66,3,,,11
7515,VBM,826,281,34.02,134,105,18,1,1,22
7516,Election_Day,805,161,20,72,65,8,,,16
7516,VBM,805,369,45.84,153,153,31,,,32
7517,Election_Day,877,268,30.56,145,97,8,,,18
7517,VBM,877,291,33.18,123,125,16,2,,25
7518,Election_Day,905,295,32.6,180,75,13,,,27
7518,VBM,905,295,32.6,136,119,12,,,28
7519,Election_Day,741,230,31.04,141,60,5,,,24
7519,VBM,741,208,28.07,93,85,6,,1,23
7521,Election_Day,773,239,30.92,109,100,3,2,,25
7521,VBM,773,232,30.01,106,95,6,,,25
7522,Election_Day,801,242,30.21,137,76,5,,1,23
7522,VBM,801,267,33.33,130,106,5,,,26
7523,Election_Day,743,262,35.26,151,76,7,3,,25
7523,VBM,743,208,27.99,100,78,9,,2,19
7524,Election_Day,638,175,27.43,83,68,4,2,1,17
7524,VBM,638,182,28.53,89,70,12,,2,9
7525,Election_Day,800,172,21.5,79,60,8,1,,24
7525,VBM,800,221,27.63,97,96,5,1,2,20
7526,Election_Day,890,212,23.82,115,66,7,1,,23
7526,VBM,890,343,38.54,146,159,9,1,,28
7527/7528,Election_Day,714,194,27.17,99,61,9,1,,24
7527/7528,VBM,714,222,31.09,95,97,12,,2,16
7529,Election_Day,896,257,28.68,156,64,10,1,,26
7529,VBM,896,287,32.03,140,123,5,1,,18
7531,Election_Day,879,249,28.33,142,78,2,1,,26
7531,VBM,879,265,30.15,129,100,9,1,,26
7532,Election_Day,795,211,26.54,114,63,9,,,25
7532,VBM,795,260,32.7,113,104,18,3,,22
