precinct,ballot_type,registered,ballots_cast,turnout,PHIL_TING,CARLOS_''CHUCK''_TAYLOR,WRITE-IN,over_votes,under_votes
9735,Election_Day,763,157,20.58,108,22,1,,26
9735,VBM,763,332,43.51,221,68,,,43
9736,Election_Day,687,156,22.71,106,22,2,,26
9736,VBM,687,291,42.36,225,30,1,1,34
9737,Election_Day,756,177,23.41,123,19,,,35
9737,VBM,756,353,46.69,262,43,1,,47
9738,Election_Day,769,167,21.72,115,27,2,,23
9738,VBM,769,245,31.86,154,40,1,1,49
9739,Election_Day,806,168,20.84,112,22,,,34
9739,VBM,806,207,25.68,160,21,,,26
9741,Election_Day,765,53,6.93,34,2,1,,16
9741,VBM,765,51,6.67,37,4,1,,9
9742,Election_Day,603,121,20.07,75,23,1,,22
9742,VBM,603,184,30.51,120,34,1,,29
9743,Election_Day,986,222,22.52,160,19,2,1,40
9743,VBM,986,329,33.37,247,37,3,2,40
9744,Election_Day,877,194,22.12,127,25,5,,37
9744,VBM,877,227,25.88,148,43,1,,35
9745,Election_Day,969,189,19.5,127,27,,,35
9745,VBM,969,236,24.36,170,32,,,34
9746,Election_Day,872,202,23.17,128,44,,,30
9746,VBM,872,334,38.3,238,61,1,1,33
9747,Election_Day,917,215,23.45,154,20,2,,39
9747,VBM,917,340,37.08,247,47,1,,45
9748,Election_Day,937,195,20.81,132,27,1,,35
9748,VBM,937,345,36.82,256,55,,,34
9749,Election_Day,865,173,20,113,19,1,,40
9749,VBM,865,241,27.86,186,28,,,27
9751,Election_Day,929,197,21.21,133,30,4,,30
9751,VBM,929,375,40.37,257,66,,,52
9752,Election_Day,704,164,23.3,117,11,2,,34
9752,VBM,704,302,42.9,213,50,2,1,36
9753,Election_Day,727,148,20.36,111,12,,1,24
9753,VBM,727,283,38.93,215,37,2,,29
9754,Election_Day,695,171,24.6,118,19,3,,31
9754,VBM,695,276,39.71,212,34,4,,26
9755,Election_Day,578,136,23.53,105,11,1,,19
9755,VBM,578,221,38.24,167,27,2,,25
9756,Election_Day,867,161,18.57,105,21,,1,34
9756,VBM,867,300,34.6,220,38,2,,40
9801,Election_Day,426,87,20.42,57,9,2,,19
9801,VBM,426,147,34.51,100,15,4,,28
