precinct,ballot_type,registered,ballots_cast,turnout,Yes,No,over_votes,under_votes
7527/7528,Election_Day,714,191,26.75,145,15,,31
7527/7528,VBM,714,216,30.25,163,29,1,23
7529,Election_Day,896,256,28.57,201,38,,17
7529,VBM,896,286,31.92,231,38,,17
7531,Election_Day,879,246,27.99,186,39,,21
7531,VBM,879,258,29.35,196,31,,31
7532,Election_Day,795,212,26.67,158,35,,19
7532,VBM,795,252,31.7,185,49,1,17
7533,Election_Day,927,331,35.71,271,36,,24
7533,VBM,927,282,30.42,214,41,,27
7534,Election_Day,882,278,31.52,219,39,,20
7534,VBM,882,276,31.29,211,36,,29
7535,Election_Day,761,245,32.19,200,30,,15
7535,VBM,761,248,32.59,199,36,,13
7536,Election_Day,804,257,31.97,203,26,,28
7536,VBM,804,284,35.32,228,38,,18
7537,Election_Day,737,218,29.58,165,35,,18
7537,VBM,737,237,32.16,184,29,,24
7538,Election_Day,774,239,30.88,185,36,,18
7538,VBM,774,267,34.5,215,27,,25
7539,Election_Day,891,310,34.79,234,55,,21
7539,VBM,891,255,28.62,201,39,,15
7541,Election_Day,792,216,27.27,159,41,1,15
7541,VBM,792,265,33.46,196,44,,25
7542,Election_Day,844,259,30.69,191,33,,35
7542,VBM,844,244,28.91,189,35,,20
7543,Election_Day,886,199,22.46,154,31,,14
7543,VBM,886,322,36.34,265,41,,16
7544,Election_Day,856,214,25,167,30,1,16
7544,VBM,856,305,35.63,238,45,1,21
7545,Election_Day,851,210,24.68,160,31,,19
7545,VBM,851,295,34.67,218,55,,22
7546,Election_Day,857,289,33.72,202,62,,25
7546,VBM,857,274,31.97,211,44,,19
7547,Election_Day,969,282,29.1,227,37,,18
7547,VBM,969,314,32.4,255,39,,20
7548,Election_Day,1029,270,26.24,206,33,,31
7548,VBM,1029,366,35.57,297,42,,27
7549,Election_Day,789,214,27.12,168,25,,21
7549,VBM,789,266,33.71,192,50,,24
7551,Election_Day,682,219,32.11,175,30,,14
7551,VBM,682,221,32.4,173,29,,19
7552,Election_Day,702,203,28.92,156,24,,23
7552,VBM,702,229,32.62,180,32,,17
7553,Election_Day,166,3,1.81,2,,,1
7553,VBM,166,89,53.61,75,11,,3
7554,Election_Day,808,228,28.22,173,31,,24
7554,VBM,808,311,38.49,260,29,,22
7555,Election_Day,848,253,29.83,205,26,,22
7555,VBM,848,313,36.91,234,63,,16
7556/7557,Election_Day,955,268,28.06,198,45,,25
7556/7557,VBM,955,367,38.43,279,60,,28
7601,Election_Day,828,150,18.12,111,21,,18
7601,VBM,828,184,22.22,134,28,,22
7602,Election_Day,884,183,20.7,146,18,,19
7602,VBM,884,256,28.96,201,33,,22
7603,Election_Day,791,187,23.64,146,23,,18
7603,VBM,791,238,30.09,189,20,,29
7604,Election_Day,841,186,22.12,144,26,,16
