precinct,ballot_type,registered,ballots_cast,turnout,RICHARD_W._STONE,JOHN-MARC_CHANDONIA,BARRY_HERMANSON,MIKE_MURPHY,WRITE-IN,over_votes,under_votes
7619,Election_Day,12,3,25,1,2,1,2,,,12
7619,VBM,12,3,25,,1,3,,,,14
7621,Election_Day,12,1,8.33,,,,,,,6
7621,VBM,12,2,16.67,,1,1,1,,,9
7622,Election_Day,9,0,0,,,,,,,
7622,VBM,9,0,0,,,,,,,
7623,Election_Day,9,1,11.11,1,,,,,,5
7623,VBM,9,0,0,,,,,,,
7624,Election_Day,5,2,40,,,,,,,12
7624,VBM,5,0,0,,,,,,,
7625,Election_Day,1,1,100,,1,,,,,5
7625,VBM,1,0,0,,,,,,,
7626,Election_Day,4,0,0,,,,,,,
7626,VBM,4,0,0,,,,,,,
7627,Election_Day,4,0,0,,,,,,,
7627,VBM,4,0,0,,,,,,,
7628,Election_Day,12,3,25,,,2,,,,16
7628,VBM,12,4,33.33,,1,3,,6,,14
7629,Election_Day,12,3,25,,,,3,,,15
7629,VBM,12,1,8.33,,,,,,,6
7631,Election_Day,10,0,0,,,,,,,
7631,VBM,10,4,40,,2,1,1,,,20
7632,Election_Day,17,3,17.65,,1,1,,,,16
7632,VBM,17,3,17.65,,,,1,,,17
7633,Election_Day,5,1,20,,1,,,,,5
7633,VBM,5,1,20,,1,,1,,,4
7634,Election_Day,7,0,0,,,,,,,
7634,VBM,7,3,42.86,1,1,1,2,,,13
7635,Election_Day,10,0,0,,,,,,,
7635,VBM,10,3,30,2,2,1,2,,,11
7636,Election_Day,6,4,66.67,1,1,4,1,,,17
7636,VBM,6,2,33.33,,,1,1,,,10
7637,Election_Day,7,0,0,,,,,,,
7637,VBM,7,3,42.86,,1,1,1,1,,14
7638,Election_Day,0,0,0,,,,,,,
7638,VBM,0,0,0,,,,,,,
7639,Election_Day,1,0,0,,,,,,,
7639,VBM,1,0,0,,,,,,,
7641,Election_Day,4,1,25,,,,,,,6
7641,VBM,4,1,25,,,,1,,,5
7642,Election_Day,3,1,33.33,,,,,,,6
7642,VBM,3,0,0,,,,,,,
7643,Election_Day,7,1,14.29,1,1,1,1,,,2
7643,VBM,7,5,71.43,2,2,2,2,,,22
7644,Election_Day,2,2,100,,,2,,,,10
7644,VBM,2,0,0,,,,,,,
7645,Election_Day,1,0,0,,,,,,,
7645,VBM,1,0,0,,,,,,,
7646,Election_Day,5,0,0,,,,,,,
7646,VBM,5,3,60,,2,,,,,16
7647,Election_Day,14,0,0,,,,,,,
7647,VBM,14,1,7.14,,,1,,,,5
7648,Election_Day,0,0,0,,,,,,,
7648,VBM,0,0,0,,,,,,,
7701,Election_Day,6,1,16.67,,,1,,,,5
7701,VBM,6,2,33.33,,,2,,,,10
7702,Election_Day,5,1,20,1,1,1,1,,,2
7702,VBM,5,2,40,,,1,,,,11
7703,Election_Day,0,0,0,,,,,,,
7703,VBM,0,0,0,,,,,,,
7704,Election_Day,6,1,16.67,,,,,,,6
7704,VBM,6,2,33.33,,,1,,,,11
7705,Election_Day,5,1,20,,,,,,,6
7705,VBM,5,2,40,1,1,1,1,,,8
7706,Election_Day,8,1,12.5,,,,1,,,5
7706,VBM,8,2,25,,,2,,,,10
7707,Election_Day,7,2,28.57,,1,1,1,,,9
7707,VBM,7,3,42.86,1,1,3,1,,,12
7708,Election_Day,7,1,14.29,,,,,,,6
7708,VBM,7,2,28.57,,1,,,,,11
7709,Election_Day,3,0,0,,,,,,,
7709,VBM,3,1,33.33,,,,,,,6
7711,Election_Day,11,4,36.36,,,2,,,,22
7711,VBM,11,4,36.36,,1,1,1,,,21
7712,Election_Day,10,2,20,1,1,1,1,,,8
7712,VBM,10,5,50,1,1,2,1,,,25
7801,Election_Day,9,4,44.44,1,1,2,1,,,19
7801,VBM,9,2,22.22,,,,,,,12
7802,Election_Day,9,1,11.11,,,,,,,6
7802,VBM,9,5,55.56,,,1,,,,29
7803,Election_Day,5,0,0,,,,,,,
7803,VBM,5,3,60,1,1,3,1,,,12
7804,Election_Day,15,5,33.33,,,1,,,,29
7804,VBM,15,5,33.33,2,1,3,1,1,,22
7805,Election_Day,9,3,33.33,1,1,1,1,,,14
7805,VBM,9,3,33.33,2,1,2,1,,,12
7806,Election_Day,21,9,42.86,1,1,2,4,,,46
7806,VBM,21,4,19.05,2,2,4,2,,,14
7807,Election_Day,3,1,33.33,,,,,,,6
7807,VBM,3,1,33.33,,,,,,,6
7808,Election_Day,10,4,40,,1,1,,,,22
7808,VBM,10,3,30,1,,3,,,,14
7809,Election_Day,10,2,20,,,,,,,12
7809,VBM,10,2,20,,,1,,,,11
7811,Election_Day,17,4,23.53,1,1,4,1,,,17
7811,VBM,17,3,17.65,1,,2,,,,15
7812,Election_Day,6,0,0,,,,,,,
7812,VBM,6,1,16.67,,1,,,,,5
7813,Election_Day,7,2,28.57,,,,,,,12
7813,VBM,7,4,57.14,2,2,2,3,,,15
7814,Election_Day,15,4,26.67,,,1,,6,,17
7814,VBM,15,3,20,2,1,2,1,,,12
7815,Election_Day,6,0,0,,,,,,,
7815,VBM,6,2,33.33,,,1,,,,11
7816,Election_Day,8,2,25,,,,,,,12
7816,VBM,8,2,25,2,2,2,2,,,4
7817,Election_Day,10,3,30,,,,1,,,17
7817,VBM,10,2,20,,,1,,,,11
7818,Election_Day,15,4,26.67,2,1,1,1,,,19
7818,VBM,15,3,20,1,1,1,1,,,14
7819,Election_Day,12,4,33.33,,,,1,,,23
7819,VBM,12,2,16.67,1,1,1,1,,,8
7821,Election_Day,13,2,15.38,,1,1,,,,10
7821,VBM,13,5,38.46,,1,2,,,,27
7822,Election_Day,9,1,11.11,,,,1,,,5
7822,VBM,9,3,33.33,1,,2,,,,15
7823,Election_Day,7,0,0,,,,,,,
