precinct,ballot_type,registered,ballots_cast,turnout,MATTHEW_DEL_CARLO,DAVID_CHIU,WRITE-IN,over_votes,under_votes
7609,VBM,917,292,31.84,21,237,3,2,29
7611,Election_Day,793,96,12.11,11,61,3,,21
7611,VBM,793,220,27.74,26,157,1,,36
7612,Election_Day,579,84,14.51,5,66,1,,12
7612,VBM,579,173,29.88,24,129,,,20
7613,Election_Day,917,157,17.12,22,106,5,1,23
7613,VBM,917,249,27.15,32,183,4,,30
7614,Election_Day,1046,176,16.83,15,119,,,42
7614,VBM,1046,285,27.25,34,211,3,,37
7615,Election_Day,996,108,10.84,11,66,2,,29
7615,VBM,996,205,20.58,39,146,,,20
7616,Election_Day,713,122,17.11,7,92,1,,22
7616,VBM,713,283,39.69,37,197,2,,47
7617,Election_Day,801,96,11.99,16,57,1,,22
7617,VBM,801,239,29.84,36,169,4,1,29
7618,Election_Day,847,164,19.36,14,121,1,,28
7618,VBM,847,295,34.83,27,227,2,1,38
7619,Election_Day,1473,263,17.85,20,182,4,,57
7619,VBM,1473,475,32.25,49,367,5,1,53
7621,Election_Day,912,164,17.98,10,119,,,35
7621,VBM,912,318,34.87,37,236,4,,41
7622,Election_Day,901,113,12.54,13,76,1,,23
7622,VBM,901,201,22.31,32,145,,,24
7623,Election_Day,759,120,15.81,15,70,6,,29
7623,VBM,759,194,25.56,10,158,2,,24
7624,Election_Day,957,105,10.97,12,74,3,,16
7624,VBM,957,212,22.15,30,162,3,,17
7625,Election_Day,853,65,7.62,6,46,,,13
7625,VBM,853,398,46.66,47,290,1,1,59
7626,Election_Day,953,161,16.89,18,114,,,29
7626,VBM,953,360,37.78,48,264,1,,47
7627,Election_Day,1123,191,17.01,21,132,,,38
7627,VBM,1123,378,33.66,62,265,2,,49
7628,Election_Day,913,182,19.93,16,132,,,34
7628,VBM,913,312,34.17,22,234,7,,49
7629,Election_Day,756,145,19.18,4,113,2,,26
7629,VBM,756,204,26.98,18,157,1,,28
7631,Election_Day,931,182,19.55,12,126,3,,41
7631,VBM,931,319,34.26,34,242,2,,41
7632,Election_Day,642,147,22.9,8,110,5,,24
7632,VBM,642,200,31.15,31,136,2,,31
7633,Election_Day,638,123,19.28,10,86,1,,26
7633,VBM,638,236,36.99,19,180,3,,34
7634,Election_Day,901,147,16.32,19,106,,,22
7634,VBM,901,314,34.85,48,238,,,28
7635,Election_Day,707,123,17.4,8,85,3,,27
7635,VBM,707,241,34.09,19,184,3,1,34
7636,Election_Day,840,175,20.83,16,121,2,1,35
7636,VBM,840,268,31.9,45,192,,,31
7637,Election_Day,1075,171,15.91,24,104,2,1,40
7637,VBM,1075,403,37.49,47,290,4,,62
7638,Election_Day,999,132,13.21,22,90,,,20
7638,VBM,999,406,40.64,88,287,2,,29
7639,Election_Day,868,162,18.66,18,112,,,32
7639,VBM,868,280,32.26,51,201,2,,26
7641,Election_Day,881,146,16.57,14,104,2,,26
7641,VBM,881,339,38.48,66,235,1,,37
7642,Election_Day,879,144,16.38,20,93,,,31
7642,VBM,879,405,46.08,62,294,5,,44
7643,Election_Day,860,124,14.42,13,87,2,,22
7643,VBM,860,344,40,41,267,1,,35
7644,Election_Day,918,191,20.81,20,132,2,1,36
7644,VBM,918,282,30.72,27,210,1,,44
7645,Election_Day,607,89,14.66,11,60,1,,17
7645,VBM,607,278,45.8,43,203,,,32
7646,Election_Day,1601,274,17.11,20,196,3,,55
7646,VBM,1601,591,36.91,66,436,3,,86
7647,Election_Day,861,167,19.4,20,114,4,,29
7647,VBM,861,177,20.56,19,140,1,,17
7648,Election_Day,7,0,0,,,,,
7648,VBM,7,2,28.57,,2,,,
7701,Election_Day,938,290,30.92,32,203,5,1,49
7701,VBM,938,333,35.5,41,254,4,,34
7702,Election_Day,752,162,21.54,23,107,,,32
7702,VBM,752,327,43.48,69,220,3,,35
7703,Election_Day,137,2,1.46,1,,,,1
7703,VBM,137,55,40.15,8,36,,,11
7704,Election_Day,943,242,25.66,26,167,4,,45
7704,VBM,943,389,41.25,73,277,1,,38
7705,Election_Day,536,148,27.61,15,104,,,29
7705,VBM,536,230,42.91,53,152,,,25
7706,Election_Day,813,219,26.94,35,157,2,,25
7706,VBM,813,355,43.67,48,255,,,52
7707,Election_Day,817,215,26.32,22,169,,,24
7707,VBM,817,353,43.21,46,274,1,,32
7708,Election_Day,853,184,21.57,16,132,2,,34
7708,VBM,853,368,43.14,54,270,,,44
7709,Election_Day,359,99,27.58,8,70,2,,19
7709,VBM,359,180,50.14,20,144,,,16
7711,Election_Day,763,191,25.03,12,147,3,,29
7711,VBM,763,312,40.89,31,242,,,39
7712,Election_Day,543,142,26.15,10,109,,,23
7712,VBM,543,225,41.44,22,165,1,,37
7801,Election_Day,928,266,28.66,17,213,,,36
7801,VBM,928,396,42.67,39,310,3,,44
7802,Election_Day,732,224,30.6,9,180,3,,32
7802,VBM,732,286,39.07,22,232,,,32
7803,Election_Day,775,173,22.32,8,132,1,,32
7803,VBM,775,410,52.9,23,345,3,,39
7804,Election_Day,881,262,29.74,18,210,1,,33
7804,VBM,881,372,42.22,22,310,1,,39
7805,Election_Day,795,207,26.04,6,166,3,,32
7805,VBM,795,334,42.01,26,257,1,,50
