precinct,ballot_type,registered_voters,ballots_cast,turnout,DONALD_TRUMP,BEN_CARSON,TED_CRUZ,JOHN_KASICH,JIM_GILMORE,WRITE_IN,over_votes,under_votes
7344,VBM,91,31,34.07,20,1,,6,,1,,3
7345,Election_Day,66,12,18.18,5,,,3,,3,,1
7345,VBM,66,16,24.24,7,,2,2,,3,,2
7346,Election_Day,44,11,25,5,1,1,2,,1,,1
7346,VBM,44,8,18.18,5,1,,1,,1,,
7347,Election_Day,43,9,20.93,4,,,3,,2,,
7347,VBM,43,10,23.26,6,,,3,1,,,
7348,Election_Day,59,13,22.03,8,,1,2,,1,,1
7348,VBM,59,17,28.81,10,,2,3,,1,,1
7349,Election_Day,88,11,12.5,7,,,1,,1,,2
7349,VBM,88,29,32.95,22,,3,4,,,,
7501,Election_Day,49,9,18.37,3,,,4,,2,,
7501,VBM,49,19,38.78,6,,4,4,,,,5
7502,Election_Day,75,8,10.67,4,,,2,,2,,
7502,VBM,75,27,36,10,1,2,4,,3,,7
7503,Election_Day,61,6,9.84,3,,1,1,,,,1
7503,VBM,61,20,32.79,5,1,5,5,,2,,2
7504,Election_Day,37,5,13.51,2,,,,,,,3
7504,VBM,37,8,21.62,2,,,5,,1,,
7505,Election_Day,123,12,9.76,4,1,,3,,,,4
7505,VBM,123,55,44.72,25,2,8,11,1,2,,6
7506,Election_Day,53,4,7.55,3,,,1,,,,
7506,VBM,53,16,30.19,10,2,,1,,1,1,1
7507,Election_Day,47,5,10.64,3,,,1,,1,,
7507,VBM,47,13,27.66,6,1,1,2,1,,,2
7508,Election_Day,65,7,10.77,2,2,1,,,,,2
7508,VBM,65,31,47.69,20,2,3,2,,1,,3
7512,Election_Day,42,3,7.14,2,,,,,,,1
7512,VBM,42,20,47.62,15,1,1,2,,,,1
7513,Election_Day,42,9,21.43,4,,2,,,,,3
7513,VBM,42,12,28.57,10,,,,1,1,,
7514,Election_Day,43,1,2.33,,,,,,,,1
7514,VBM,43,11,25.58,8,,1,,,,,2
7515,Election_Day,39,1,2.56,1,,,,,,,
7515,VBM,39,15,38.46,7,,1,4,1,,,2
7516,Election_Day,47,7,14.89,5,1,,,,1,,
7516,VBM,47,25,53.19,17,1,1,3,,1,,2
7517,Election_Day,32,3,9.38,,1,,1,1,,,
7517,VBM,32,12,37.5,4,1,,6,,1,,
7518,Election_Day,34,4,11.76,1,,,2,,1,,
7518,VBM,34,9,26.47,3,2,,3,,1,,
7519,Election_Day,30,5,16.67,1,,1,2,,1,,
7519,VBM,30,6,20,1,,,3,,,,2
7521,Election_Day,19,0,0,,,,,,,,
7521,VBM,19,8,42.11,4,,,1,,,,3
7522,Election_Day,26,5,19.23,1,,,3,,,,1
7522,VBM,26,4,15.38,,,,3,,1,,
7523,Election_Day,14,3,21.43,1,,1,1,,,,
7523,VBM,14,7,50,2,,1,1,,3,,
7524,Election_Day,28,7,25,3,,,4,,,,
7524,VBM,28,10,35.71,2,1,,4,,3,,
7525,Election_Day,34,5,14.71,1,1,,,,1,,2
7525,VBM,34,8,23.53,2,1,,2,,3,,
7526,Election_Day,38,5,13.16,3,,,1,,1,,
7526,VBM,38,8,21.05,2,,1,3,,1,,1
7529,Election_Day,20,5,25,1,,2,1,,,,1
7529,VBM,20,4,20,1,,,3,,,,
7531,Election_Day,19,4,21.05,1,,,2,,,,1
7531,VBM,19,4,21.05,4,,,,,,,
7532,Election_Day,37,4,10.81,1,,2,1,,,,
7532,VBM,37,13,35.14,3,,1,5,,2,,2
7533,Election_Day,43,11,25.58,5,,,3,1,1,,1
7533,VBM,43,13,30.23,7,,2,2,,1,,1
7534,Election_Day,29,3,10.34,,,1,1,,1,,
7534,VBM,29,10,34.48,5,,,3,,1,,1
7535,Election_Day,26,8,30.77,2,1,1,3,,,,1
7535,VBM,26,5,19.23,1,1,,2,,,,1
7536,Election_Day,22,6,27.27,1,,,3,,1,,1
7536,VBM,22,6,27.27,,,1,3,1,,,1
7537,Election_Day,18,4,22.22,2,,,1,,1,,
7537,VBM,18,5,27.78,3,,,2,,,,
7538,Election_Day,18,1,5.56,,,,1,,,,
7538,VBM,18,8,44.44,2,,1,2,,3,,
7539,Election_Day,22,8,36.36,2,,1,1,,3,,1
7539,VBM,22,3,13.64,1,,1,,,1,,
7541,Election_Day,18,2,11.11,,1,,,,,,1
7541,VBM,18,4,22.22,2,,,2,,,,
7542,Election_Day,23,4,17.39,1,,,1,,1,,1
7542,VBM,23,3,13.04,2,,,,,1,,
7543,Election_Day,26,3,11.54,2,,,,,,,1
7543,VBM,26,10,38.46,3,,1,4,,2,,
7544,Election_Day,34,8,23.53,4,,,2,,,,2
7544,VBM,34,9,26.47,3,1,,2,,2,,1
7545,Election_Day,35,6,17.14,3,,,2,1,,,
7545,VBM,35,10,28.57,7,,1,1,,,1,
7546,Election_Day,39,13,33.33,4,,,4,2,1,,2
7546,VBM,39,7,17.95,3,1,,2,,,,1
7547,Election_Day,12,3,25,2,,,1,,,,
7547,VBM,12,4,33.33,3,,,,,,,1
7548,Election_Day,54,7,12.96,2,,1,1,,2,,1
7548,VBM,54,13,24.07,4,1,,6,,,,2
7549,Election_Day,27,7,25.93,3,,,2,,1,,1
7549,VBM,27,7,25.93,3,,,2,,2,,
7551,Election_Day,30,3,10,,,1,1,,,,1
7551,VBM,30,7,23.33,,1,1,4,,,,1
7552,Election_Day,27,5,18.52,,1,,2,,,,2
7552,VBM,27,11,40.74,4,,,3,1,1,,2
7553,Election_Day,10,0,0,,,,,,,,
7553,VBM,10,7,70,3,,1,2,,1,,
7554,Election_Day,34,7,20.59,,1,,2,,2,,2
7554,VBM,34,18,52.94,6,,,7,1,1,,3
7555,Election_Day,45,9,20,3,,,5,,,,1
7555,VBM,45,18,40,6,,2,10,,,,
7601,Election_Day,51,6,11.76,4,,1,,,1,,
7601,VBM,51,11,21.57,8,1,,1,,,,1
7602,Election_Day,39,5,12.82,2,,,,,1,,2
7602,VBM,39,12,30.77,7,1,1,2,,1,,
7603,Election_Day,34,3,8.82,2,,,1,,,,
7603,VBM,34,12,35.29,6,,4,1,,1,,
7604,Election_Day,61,10,16.39,7,,,1,1,1,,
7604,VBM,61,15,24.59,12,,,2,,,,1
7605,Election_Day,39,1,2.56,1,,,,,,,
7605,VBM,39,8,20.51,6,1,,,,,,1
7606,Election_Day,45,9,20,5,,,2,1,,,1
7606,VBM,45,16,35.56,12,,,1,,2,,1
7607,Election_Day,54,5,9.26,1,,1,1,,,,2
7607,VBM,54,16,29.63,8,5,1,1,1,,,
7608,Election_Day,28,3,10.71,,,1,,,,,2
7608,VBM,28,7,25,5,,2,,,,,
7609,Election_Day,52,5,9.62,1,,1,2,,,,1
7609,VBM,52,8,15.38,6,,1,1,,,,
7611,Election_Day,45,4,8.89,3,,1,,,,,
7611,VBM,45,12,26.67,9,,,1,,1,,1
7612,Election_Day,39,3,7.69,1,,,1,,,1,
7612,VBM,39,14,35.9,9,,3,,,1,,1
7613,Election_Day,46,4,8.7,1,,2,,,,,1
7613,VBM,46,14,30.43,10,,1,1,,1,,1
7614,Election_Day,71,7,9.86,3,,,,,,,4
7614,VBM,71,22,30.99,15,1,1,2,1,1,1,
7615,Election_Day,58,8,13.79,8,,,,,,,
7615,VBM,58,16,27.59,9,1,3,,,2,,1
7616,Election_Day,37,1,2.7,,,,1,,,,
7616,VBM,37,15,40.54,5,,1,8,,1,,
7617,Election_Day,45,2,4.44,1,,,,,,,1
7617,VBM,45,9,20,4,1,3,,,1,,
7618,Election_Day,44,3,6.82,1,,,1,1,,,
7618,VBM,44,9,20.45,7,,1,1,,,,
7619,Election_Day,84,5,5.95,2,,1,2,,,,
7619,VBM,84,26,30.95,16,2,2,1,,2,1,2
7621,Election_Day,55,5,9.09,3,,1,1,,,,
7621,VBM,55,15,27.27,9,,1,3,,,,2
7622,Election_Day,67,8,11.94,3,1,,1,,,,3
7622,VBM,67,20,29.85,15,1,,2,,2,,
7623,Election_Day,37,7,18.92,4,1,1,1,,,,
7623,VBM,37,10,27.03,5,2,,1,,,,2
7624,Election_Day,43,1,2.33,,,,1,,,,
7624,VBM,43,12,27.91,7,,3,,,1,,1
7625,Election_Day,66,1,1.52,1,,,,,,,
7625,VBM,66,32,48.48,18,1,1,6,1,2,,3
7626,Election_Day,97,10,10.31,3,1,,5,,1,,
7626,VBM,97,32,32.99,14,1,3,10,1,1,,2
7627,Election_Day,137,15,10.95,7,,2,4,,1,,1
7627,VBM,137,41,29.93,23,1,,15,,,,2
7628,Election_Day,46,4,8.7,3,1,,,,,,
7628,VBM,46,11,23.91,3,1,1,3,,2,,1
7629,Election_Day,35,2,5.71,,,,,,,,2
7629,VBM,35,12,34.29,2,,3,3,1,1,,2
7631,Election_Day,59,5,8.47,3,,1,1,,,,
7631,VBM,59,18,30.51,11,,3,4,,,,
7632,Election_Day,33,1,3.03,1,,,,,,,
7632,VBM,33,11,33.33,8,,,3,,,,
7633,Election_Day,40,4,10,,1,1,2,,,,
7633,VBM,40,14,35,12,,1,,,,,1
7634,Election_Day,89,8,8.99,4,,,1,,2,,1
7634,VBM,89,28,31.46,21,1,1,2,,2,,1
7635,Election_Day,62,4,6.45,,,,3,,,,1
7635,VBM,62,16,25.81,10,,1,3,1,,,1
7636,Election_Day,71,4,5.63,,,2,1,1,,,
7636,VBM,71,27,38.03,13,,2,7,,3,,2
7637,Election_Day,111,9,8.11,3,,,3,,3,,
7637,VBM,111,33,29.73,14,1,1,10,1,2,,4
7638,Election_Day,142,11,7.75,7,,1,2,,1,,
7638,VBM,142,61,42.96,28,1,1,24,,4,,3
7639,Election_Day,101,11,10.89,5,,,3,,1,,2
7639,VBM,101,27,26.73,10,,,8,,5,1,3
7641,Election_Day,98,11,11.22,1,,4,2,1,,,3
7641,VBM,98,34,34.69,18,1,3,10,,,,2
7642,Election_Day,88,7,7.95,1,,,1,,1,,4
7642,VBM,88,48,54.55,26,4,6,4,1,4,,3
7643,Election_Day,67,5,7.46,1,,,1,,,,3
7643,VBM,67,23,34.33,10,,1,8,1,2,,1
7644,Election_Day,56,8,14.29,5,,,,,1,,2
7644,VBM,56,15,26.79,8,,1,4,1,,,1
7645,Election_Day,70,5,7.14,2,,,1,,1,,1
7645,VBM,70,34,48.57,18,,2,10,,2,,2
7646,Election_Day,126,9,7.14,1,,1,1,,2,,4
7646,VBM,126,44,34.92,15,,3,18,,5,,3
7647,Election_Day,42,4,9.52,3,,,,,,,1
7647,VBM,42,8,19.05,5,,,,,,,3
7648,Election_Day,0,0,0,,,,,,,,
7648,VBM,0,0,0,,,,,,,,
7701,Election_Day,75,21,28,13,,1,5,,1,,1
7701,VBM,75,28,37.33,12,1,5,7,1,2,,
7702,Election_Day,95,10,10.53,6,,2,1,,1,,
7702,VBM,95,51,53.68,30,1,3,11,,1,,5
7703,Election_Day,7,0,0,,,,,,,,
7703,VBM,7,4,57.14,2,,1,,,,,1
7704,Election_Day,119,15,12.61,9,1,,3,,,,2
7704,VBM,119,62,52.1,40,,4,11,,4,,3
7705,Election_Day,82,14,17.07,6,,,4,1,,,3
7705,VBM,82,44,53.66,21,1,4,11,1,4,,2
7706,Election_Day,89,20,22.47,10,1,4,4,,,,1
7706,VBM,89,39,43.82,15,2,3,8,1,2,,8
7707,Election_Day,96,16,16.67,11,,1,3,,1,,
7707,VBM,96,39,40.63,21,,3,5,3,6,,1
7708,Election_Day,92,10,10.87,3,1,,4,,,,2
7708,VBM,92,41,44.57,18,2,8,8,1,1,,3
7709,Election_Day,31,9,29.03,6,,,,,1,,2
7709,VBM,31,17,54.84,4,,4,3,1,3,,2
