precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7348,Election_Day,808,143,17.7,113,25,,5
7348,VBM,808,229,28.34,159,41,,29
7349,Election_Day,893,186,20.83,135,22,,29
7349,VBM,893,297,33.26,214,50,,33
7501,Election_Day,523,142,27.15,86,29,,27
7501,VBM,523,161,30.78,102,41,,18
7502,Election_Day,735,159,21.63,115,25,,19
7502,VBM,735,259,35.24,177,54,,28
7503,Election_Day,706,156,22.1,106,29,,21
7503,VBM,706,213,30.17,153,37,,23
7504,Election_Day,454,98,21.59,64,16,,18
7504,VBM,454,141,31.06,86,30,,25
7505,Election_Day,853,148,17.35,101,25,,22
7505,VBM,853,426,49.94,315,71,,40
7506,Election_Day,908,202,22.25,140,34,,28
7506,VBM,908,263,28.96,205,28,,30
7507,Election_Day,927,152,16.4,110,16,,26
7507,VBM,927,263,28.37,203,35,,25
7508,Election_Day,683,122,17.86,81,18,,23
7508,VBM,683,304,44.51,208,66,,30
7509-7511,Election_Day,896,195,21.76,151,23,,21
7509-7511,VBM,896,323,36.05,238,62,,23
7512,Election_Day,579,100,17.27,73,11,1,15
7512,VBM,579,217,37.48,149,40,,28
7513,Election_Day,735,172,23.4,120,17,,35
7513,VBM,735,183,24.9,138,23,,22
7514,Election_Day,803,92,11.46,62,10,1,19
7514,VBM,803,194,24.16,147,21,,26
7515,Election_Day,826,158,19.13,116,26,,16
7515,VBM,826,278,33.66,213,46,,19
7516,Election_Day,805,160,19.88,110,30,,20
7516,VBM,805,361,44.84,262,64,1,34
7517,Election_Day,877,260,29.65,212,21,,27
7517,VBM,877,283,32.27,206,47,1,29
7518,Election_Day,905,292,32.27,224,33,,35
7518,VBM,905,291,32.15,220,43,,28
7519,Election_Day,741,228,30.77,176,26,,26
7519,VBM,741,206,27.8,163,22,,21
7521,Election_Day,773,236,30.53,187,21,,28
7521,VBM,773,230,29.75,187,16,,27
7522,Election_Day,801,240,29.96,189,22,,29
7522,VBM,801,266,33.21,198,28,,40
7523,Election_Day,743,256,34.45,204,23,,29
7523,VBM,743,205,27.59,156,23,,26
7524,Election_Day,638,173,27.12,136,20,,17
7524,VBM,638,183,28.68,146,19,,18
7525,Election_Day,800,168,21,131,10,,27
7525,VBM,800,224,28,160,36,,28
7526,Election_Day,890,212,23.82,165,19,,28
7526,VBM,890,340,38.2,273,26,,41
7527-7528,Election_Day,714,191,26.75,139,16,,36
7527-7528,VBM,714,216,30.25,172,20,1,23
7529,Election_Day,896,256,28.57,205,25,,26
7529,VBM,896,286,31.92,233,29,,24
7531,Election_Day,879,246,27.99,199,16,,31
7531,VBM,879,258,29.35,203,26,,29
7532,Election_Day,795,212,26.67,162,25,,25
7532,VBM,795,252,31.7,189,30,,33
7533,Election_Day,927,331,35.71,258,43,,30
7533,VBM,927,282,30.42,218,33,,31
7534,Election_Day,882,278,31.52,219,31,,28
7534,VBM,882,276,31.29,206,43,,27
7535,Election_Day,761,245,32.19,188,31,,26
7535,VBM,761,248,32.59,200,27,,21
7536,Election_Day,804,257,31.97,189,31,,37
7536,VBM,804,284,35.32,227,28,,29
7537,Election_Day,737,218,29.58,173,21,,24
7537,VBM,737,237,32.16,176,33,,28
7538,Election_Day,774,239,30.88,192,22,,25
7538,VBM,774,267,34.5,217,29,,21
7539,Election_Day,891,310,34.79,246,34,,30
7539,VBM,891,255,28.62,202,32,,21
7541,Election_Day,792,216,27.27,175,19,,22
7541,VBM,792,265,33.46,203,36,1,25
7542,Election_Day,844,259,30.69,187,37,,35
