precinct,ballot_type,registered_voters,ballots_cast,turnout,Yes,No,over_votes,under_votes
7537,VBM,737,237,32.16,162,52,1,22
7538,Election_Day,774,239,30.88,183,35,,21
7538,VBM,774,267,34.5,173,71,,23
7539,Election_Day,891,310,34.79,227,59,,24
7539,VBM,891,255,28.62,174,61,,20
7541,Election_Day,792,216,27.27,152,47,,17
7541,VBM,792,265,33.46,179,62,,24
7542,Election_Day,844,259,30.69,184,44,,31
7542,VBM,844,244,28.91,183,38,,23
7543,Election_Day,886,199,22.46,142,44,,13
7543,VBM,886,322,36.34,214,88,1,19
7544,Election_Day,856,214,25,153,41,,20
7544,VBM,856,305,35.63,208,69,,28
7545,Election_Day,851,210,24.68,144,46,,20
7545,VBM,851,295,34.67,206,67,,22
7546,Election_Day,857,289,33.72,200,66,,23
7546,VBM,857,274,31.97,183,63,,28
7547,Election_Day,969,282,29.1,191,63,,28
7547,VBM,969,314,32.4,234,60,1,19
7548,Election_Day,1029,270,26.24,187,54,,29
7548,VBM,1029,366,35.57,253,71,,42
7549,Election_Day,789,214,27.12,150,45,,19
7549,VBM,789,266,33.71,189,52,,25
7551,Election_Day,682,219,32.11,145,55,,19
7551,VBM,682,221,32.4,147,50,,24
7552,Election_Day,702,203,28.92,126,50,,27
7552,VBM,702,229,32.62,146,65,,18
7553,Election_Day,166,3,1.81,2,1,,
7553,VBM,166,89,53.61,61,25,,3
7554,Election_Day,808,228,28.22,128,68,,32
7554,VBM,808,311,38.49,200,83,1,27
7555,Election_Day,848,253,29.83,163,60,1,29
7555,VBM,848,313,36.91,184,108,,21
7556-7557,Election_Day,955,268,28.06,156,84,1,27
7556-7557,VBM,955,367,38.43,209,127,1,30
7601,Election_Day,828,150,18.12,109,25,,16
7601,VBM,828,184,22.22,137,30,,17
7602,Election_Day,884,183,20.7,146,21,,16
7602,VBM,884,256,28.96,185,50,,21
7603,Election_Day,791,187,23.64,141,27,,19
7603,VBM,791,238,30.09,181,31,,26
7604,Election_Day,841,186,22.12,137,33,,16
7604,VBM,841,243,28.89,172,51,,20
7605,Election_Day,693,122,17.6,90,12,,20
7605,VBM,693,161,23.23,115,21,,25
7606,Election_Day,881,137,15.55,102,23,,12
7606,VBM,881,230,26.11,166,42,,22
7607,Election_Day,942,189,20.06,142,34,,13
7607,VBM,942,273,28.98,196,50,,27
7608,Election_Day,417,51,12.23,33,10,1,7
7608,VBM,417,108,25.9,86,12,,10
7609,Election_Day,917,83,9.05,69,8,,6
7609,VBM,917,291,31.73,234,35,1,21
7611,Election_Day,793,94,11.85,70,8,,16
7611,VBM,793,223,28.12,163,29,,31
7612,Election_Day,579,84,14.51,54,19,,11
7612,VBM,579,167,28.84,112,37,,18
7613,Election_Day,917,156,17.01,116,20,,20
7613,VBM,917,248,27.04,182,35,,31
7614,Election_Day,1046,171,16.35,126,22,,23
7614,VBM,1046,284,27.15,205,50,1,28
7615,Election_Day,996,112,11.24,75,18,,19
7615,VBM,996,203,20.38,153,33,,17
7616,Election_Day,713,120,16.83,68,39,,13
7616,VBM,713,278,38.99,162,89,,27
7617,Election_Day,801,95,11.86,58,18,,19
7617,VBM,801,240,29.96,178,43,,19
7618,Election_Day,847,156,18.42,108,34,,14
7618,VBM,847,291,34.36,185,88,,18
7619,Election_Day,1473,258,17.52,163,61,,34
7619,VBM,1473,468,31.77,303,122,,43
7621,Election_Day,912,162,17.76,116,27,,19
7621,VBM,912,310,33.99,211,76,1,22
7622,Election_Day,901,114,12.65,83,18,,13
7622,VBM,901,198,21.98,136,41,,21
7623,Election_Day,759,121,15.94,96,13,,12
7623,VBM,759,193,25.43,148,34,1,10
7624,Election_Day,957,105,10.97,72,25,,8
7624,VBM,957,211,22.05,150,40,,21
7625,Election_Day,853,64,7.5,42,11,,11
7625,VBM,853,396,46.42,244,94,,58
7626,Election_Day,953,158,16.58,84,54,,20
7626,VBM,953,356,37.36,159,165,,32
7627,Election_Day,1123,182,16.21,110,59,,13
7627,VBM,1123,374,33.3,164,177,,33
7628,Election_Day,913,180,19.72,124,37,,19
7628,VBM,913,307,33.63,199,78,1,29
7629,Election_Day,756,146,19.31,105,32,,9
7629,VBM,756,199,26.32,130,56,,13
7631,Election_Day,931,182,19.55,112,47,,23
7631,VBM,931,315,33.83,181,111,1,22
7632,Election_Day,642,146,22.74,91,42,,13
7632,VBM,642,198,30.84,109,71,,18
7633,Election_Day,638,122,19.12,63,41,,18
7633,VBM,638,233,36.52,148,55,,30
7634,Election_Day,901,149,16.54,90,35,1,23
7634,VBM,901,312,34.63,194,84,1,33
7635,Election_Day,707,123,17.4,82,30,,11
7635,VBM,707,235,33.24,127,73,,35
7636,Election_Day,840,174,20.71,85,74,,15
7636,VBM,840,265,31.55,130,116,,19
7637,Election_Day,1075,170,15.81,88,63,,19
7637,VBM,1075,397,36.93,214,148,,35
7638,Election_Day,999,132,13.21,64,53,,15
7638,VBM,999,402,40.24,167,211,,24
7639,Election_Day,868,159,18.32,70,67,,22
7639,VBM,868,274,31.57,110,143,,21
7641,Election_Day,881,147,16.69,78,57,,12
7641,VBM,881,330,37.46,167,141,,22
7642,Election_Day,879,143,16.27,75,35,,33
7642,VBM,879,397,45.16,202,104,,91
7643,Election_Day,860,125,14.53,59,49,,17
7643,VBM,860,339,39.42,204,115,,20
7644,Election_Day,918,190,20.7,119,46,,25
7644,VBM,918,275,29.96,152,93,1,29
