PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 7054,Election Day,7054,1,1068,318,29.78,249,43,26,0
Pct 7054,VBM,7054,1,1068,365,34.18,283,44,35,0
Pct 7101 MB,Election Day,7101,1,150,3,2.00,0,0,3,0
Pct 7101 MB,VBM,7101,1,150,123,82.00,91,18,13,0
Pct 7201,Election Day,7201,1,983,268,27.26,178,53,37,0
Pct 7201,VBM,7201,1,983,600,61.04,389,106,95,0
Pct 7202,Election Day,7202,1,885,278,31.41,169,72,36,1
Pct 7202,VBM,7202,1,885,474,53.56,303,100,61,0
Pct 7203,Election Day,7203,1,950,341,35.89,213,59,66,0
Pct 7203,VBM,7203,1,950,499,52.53,322,96,71,1
Pct 7204,Election Day,7204,1,933,276,29.58,172,48,55,1
Pct 7204,VBM,7204,1,933,557,59.70,356,114,77,0
Pct 7205,Election Day,7205,1,903,292,32.34,196,56,38,2
Pct 7205,VBM,7205,1,903,523,57.92,342,121,54,0
Pct 7206,Election Day,7206,1,390,137,35.13,94,23,20,0
Pct 7206,VBM,7206,1,390,203,52.05,123,49,31,0
Pct 7207,Election Day,7207,1,712,184,25.84,125,29,30,0
Pct 7207,VBM,7207,1,712,411,57.72,258,74,74,0
Pct 7208,Election Day,7208,1,635,155,24.41,116,14,24,0
Pct 7208,VBM,7208,1,635,384,60.47,248,57,70,0
Pct 7209,Election Day,7209,1,563,84,14.92,63,10,11,0
Pct 7209,VBM,7209,1,563,407,72.29,309,53,39,0
Pct 7301,Election Day,7301,1,1080,258,23.89,182,40,40,1
Pct 7301,VBM,7301,1,1080,555,51.39,375,97,78,0
Pct 7302,Election Day,7302,1,862,224,25.99,141,51,33,0
Pct 7302,VBM,7302,1,862,508,58.93,312,120,70,0
Pct 7303,Election Day,7303,1,1032,313,30.33,214,45,57,0
Pct 7303,VBM,7303,1,1032,538,52.13,374,87,73,0
Pct 7304,Election Day,7304,1,993,327,32.93,212,62,53,0
Pct 7304,VBM,7304,1,993,501,50.45,334,93,73,0
Pct 7305,Election Day,7305,1,906,272,30.02,176,46,49,0
Pct 7305,VBM,7305,1,906,500,55.19,327,109,54,0
Pct 7306,Election Day,7306,1,1076,351,32.62,216,65,58,2
Pct 7306,VBM,7306,1,1076,531,49.35,342,99,73,0
Pct 7307,Election Day,7307,1,826,267,32.32,183,42,43,0
Pct 7307,VBM,7307,1,826,407,49.27,281,63,53,0
Pct 7308,Election Day,7308,1,641,209,32.61,155,33,21,0
Pct 7308,VBM,7308,1,641,339,52.89,219,68,50,0
Pct 7309,Election Day,7309,1,897,295,32.89,205,42,51,0
Pct 7309,VBM,7309,1,897,469,52.29,303,75,78,0
Pct 7311,Election Day,7311,1,986,333,33.77,228,43,63,0
Pct 7311,VBM,7311,1,986,520,52.74,345,76,89,0
Pct 7312,Election Day,7312,1,874,229,26.20,148,51,31,1
Pct 7312,VBM,7312,1,874,539,61.67,315,138,81,0
Pct 7313,Election Day,7313,1,1001,261,26.07,173,49,40,0
Pct 7313,VBM,7313,1,1001,537,53.65,360,87,81,0
Pct 7314,Election Day,7314,1,833,164,19.69,99,26,40,0
Pct 7314,VBM,7314,1,833,347,41.66,207,66,64,1
Pct 7315,Election Day,7315,1,783,226,28.86,161,30,36,0
Pct 7315,VBM,7315,1,783,371,47.38,239,51,72,0
Pct 7316,Election Day,7316,1,893,220,24.64,153,29,38,0
Pct 7316,VBM,7316,1,893,441,49.38,301,79,57,1
Pct 7317,Election Day,7317,1,938,225,23.99,151,45,30,0
Pct 7317,VBM,7317,1,938,518,55.22,340,106,62,0
