PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),SHANELL WILLIAMS,ALEX RANDOLPH,TOM TEMPRANO,RAFAEL MANDELMAN,AMY BACHARACH,WRITE-IN,Under Vote,Over Vote
Pct 7502,VBM,7502,1,808,454,56.19,201,189,162,198,166,1,895,4
Pct 7503,Election Day,7503,1,808,252,31.19,100,72,78,87,78,0,593,0
Pct 7503,VBM,7503,1,808,436,53.96,188,179,140,178,157,1,897,4
Pct 7504,Election Day,7504,1,503,158,31.41,56,38,39,50,39,2,408,0
Pct 7504,VBM,7504,1,503,262,52.09,105,95,80,106,74,8,560,20
Pct 7505,Election Day,7505,1,915,181,19.78,69,63,45,75,67,0,405,0
Pct 7505,VBM,7505,1,915,581,63.50,259,257,146,250,230,6,1168,8
Pct 7506,Election Day,7506,1,1018,261,25.64,126,83,89,97,82,0,567,0
Pct 7506,VBM,7506,1,1018,537,52.75,244,192,168,198,200,3,1143,0
Pct 7507,Election Day,7507,1,992,244,24.60,130,77,87,89,78,1,514,0
Pct 7507,VBM,7507,1,992,387,39.01,243,163,137,173,149,0,679,4
Pct 7508,Election Day,7508,1,735,150,20.41,62,47,56,58,47,0,330,0
Pct 7508,VBM,7508,1,735,456,62.04,215,192,149,192,165,0,903,8
Pct 7509/7511,Election Day,7509,1,1006,260,25.84,116,88,90,96,81,0,569,0
Pct 7509/7511,VBM,7509,1,1006,565,56.16,257,244,183,252,195,6,1123,0
Pct 7512,Election Day,7512,1,638,168,26.33,78,46,57,63,39,1,384,4
Pct 7512,VBM,7512,1,638,325,50.94,159,124,121,152,110,0,630,4
Pct 7513,Election Day,7513,1,836,257,30.74,108,61,73,91,52,4,635,4
Pct 7513,VBM,7513,1,836,344,41.15,175,146,104,140,124,0,687,0
Pct 7514,Election Day,7514,1,886,186,20.99,91,50,42,43,48,2,468,0
Pct 7514,VBM,7514,1,886,358,40.41,201,156,105,134,141,1,694,0
Pct 7515,Election Day,7515,1,898,262,29.18,129,92,73,102,77,0,575,0
