PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),JANE KIM,SCOTT WIENER,Under Vote,Over Vote
Pct 7348,Election Day,7348,1,957,231,24.14,122,77,31,1
Pct 7348,VBM,7348,1,957,416,43.47,211,157,48,0
Pct 7349,Election Day,7349,1,1006,277,27.53,160,85,32,0
Pct 7349,VBM,7349,1,1006,494,49.11,217,220,57,0
Pct 7501,Election Day,7501,1,574,201,35.02,59,120,22,0
Pct 7501,VBM,7501,1,574,321,55.92,96,186,39,0
Pct 7502,Election Day,7502,1,808,240,29.70,103,110,27,0
Pct 7502,VBM,7502,1,808,454,56.19,179,227,48,0
Pct 7503,Election Day,7503,1,808,252,31.19,114,110,26,2
Pct 7503,VBM,7503,1,808,436,53.96,174,226,36,0
Pct 7504,Election Day,7504,1,503,158,31.41,82,51,25,0
Pct 7504,VBM,7504,1,503,262,52.09,134,111,16,1
Pct 7505,Election Day,7505,1,915,181,19.78,81,82,18,0
Pct 7505,VBM,7505,1,915,581,63.50,190,333,55,3
Pct 7506,Election Day,7506,1,1018,261,25.64,137,97,27,0
Pct 7506,VBM,7506,1,1018,537,52.75,219,254,63,1
Pct 7507,Election Day,7507,1,992,244,24.60,133,83,27,1
Pct 7507,VBM,7507,1,992,387,39.01,199,158,28,2
Pct 7508,Election Day,7508,1,735,150,20.41,73,66,11,0
Pct 7508,VBM,7508,1,735,456,62.04,182,225,48,1
Pct 7509/7511,Election Day,7509,1,1006,260,25.84,126,110,24,0
Pct 7509/7511,VBM,7509,1,1006,565,56.16,240,274,50,1
Pct 7512,Election Day,7512,1,638,168,26.33,79,54,35,0
Pct 7512,VBM,7512,1,638,325,50.94,120,149,55,1
Pct 7513,Election Day,7513,1,836,257,30.74,122,98,35,2
Pct 7513,VBM,7513,1,836,344,41.15,164,148,30,2
Pct 7514,Election Day,7514,1,886,186,20.99,88,72,26,0
Pct 7514,VBM,7514,1,886,358,40.41,157,169,31,1
Pct 7515,Election Day,7515,1,898,262,29.18,140,91,31,0
Pct 7515,VBM,7515,1,898,448,49.89,200,206,42,0
Pct 7516,Election Day,7516,1,907,201,22.16,98,89,14,0
Pct 7516,VBM,7516,1,907,558,61.52,245,258,54,1
Pct 7517,Election Day,7517,1,956,354,37.03,208,118,28,0
Pct 7517,VBM,7517,1,956,472,49.37,245,189,38,0
Pct 7518,Election Day,7518,1,993,356,35.85,203,121,32,0
Pct 7518,VBM,7518,1,993,502,50.55,253,215,33,1
Pct 7519,Election Day,7519,1,802,283,35.29,173,94,15,1
Pct 7519,VBM,7519,1,802,393,49.00,186,171,36,0
Pct 7521,Election Day,7521,1,854,321,37.59,171,128,22,0
Pct 7521,VBM,7521,1,854,405,47.42,199,170,36,0
Pct 7522,Election Day,7522,1,848,307,36.20,181,109,17,0
Pct 7522,VBM,7522,1,848,435,51.30,215,192,27,1
Pct 7523,Election Day,7523,1,821,288,35.08,180,95,13,0
Pct 7523,VBM,7523,1,821,401,48.84,215,161,25,0
Pct 7524,Election Day,7524,1,728,228,31.32,122,89,17,0
Pct 7524,VBM,7524,1,728,304,41.76,139,140,25,0
Pct 7525,Election Day,7525,1,870,236,27.13,131,86,19,0
Pct 7525,VBM,7525,1,870,400,45.98,178,176,46,0
Pct 7526,Election Day,7526,1,999,280,28.03,157,96,26,1
Pct 7526,VBM,7526,1,999,578,57.86,264,263,51,0
Pct 7527/7528,Election Day,7527,1,773,258,33.38,134,94,30,0
Pct 7527/7528,VBM,7527,1,773,366,47.35,153,173,38,2
Pct 7529,Election Day,7529,1,992,318,32.06,196,96,25,1
Pct 7529,VBM,7529,1,992,542,54.64,280,219,43,0
Pct 7531,Election Day,7531,1,954,301,31.55,176,107,17,1
Pct 7531,VBM,7531,1,954,504,52.83,255,207,42,0
Pct 7532,Election Day,7532,1,886,280,31.60,141,109,30,0
Pct 7532,VBM,7532,1,886,461,52.03,209,215,36,1
