PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),IAN KALIN,PHIL KIM,JILL WYNNS,MARK SANCHEZ,RACHEL NORTON,MATT HANEY,STEVON COOK,ROB GELLER,TREVOR MCNEIL,WRITE-IN,Under Vote,Over Vote
Pct 7303,VBM,7303,1,1032,538,52.13,53,68,130,184,172,221,189,33,104,2,992,4
Pct 7304,Election Day,7304,1,993,327,32.93,37,33,67,113,97,128,111,14,61,5,642,0
Pct 7304,VBM,7304,1,993,501,50.45,60,76,135,160,151,196,169,30,95,5,927,0
Pct 7305,Election Day,7305,1,906,272,30.02,32,31,55,99,57,109,83,17,65,1,539,0
Pct 7305,VBM,7305,1,906,500,55.19,51,36,127,154,161,196,167,20,98,7,983,0
Pct 7306,Election Day,7306,1,1076,351,32.62,34,50,64,127,85,117,102,20,63,1,741,0
Pct 7306,VBM,7306,1,1076,531,49.35,62,61,123,157,162,200,155,39,106,1,1054,4
Pct 7307,Election Day,7307,1,826,267,32.32,25,37,57,97,79,102,89,14,51,1,512,4
Pct 7307,VBM,7307,1,826,407,49.27,52,58,105,122,124,154,134,25,90,2,758,4
Pct 7308,Election Day,7308,1,641,209,32.61,14,24,44,89,57,84,80,9,42,0,393,0
Pct 7308,VBM,7308,1,641,339,52.89,33,39,91,114,113,162,128,23,63,0,590,0
Pct 7309,Election Day,7309,1,897,295,32.89,30,36,58,90,81,105,80,24,60,1,611,4
Pct 7309,VBM,7309,1,897,469,52.29,51,44,118,136,141,197,162,29,97,0,901,0
Pct 7311,Election Day,7311,1,986,333,33.77,47,32,64,99,80,130,98,14,55,0,713,0
Pct 7311,VBM,7311,1,986,520,52.74,54,60,124,173,165,223,170,26,90,2,993,0
Pct 7312,Election Day,7312,1,874,229,26.20,16,29,70,64,69,82,64,15,50,0,457,0
Pct 7312,VBM,7312,1,874,539,61.67,54,64,157,164,190,231,167,21,100,0,1008,0
Pct 7313,Election Day,7313,1,1001,261,26.07,23,32,55,86,63,106,82,14,53,3,527,0
Pct 7313,VBM,7313,1,1001,537,53.65,55,89,146,180,158,202,171,34,111,0,998,4
Pct 7314,Election Day,7314,1,833,164,19.69,11,28,31,50,33,50,45,14,29,0,361,4
Pct 7314,VBM,7314,1,833,347,41.66,19,58,96,127,82,110,97,11,49,4,735,0
Pct 7315,Election Day,7315,1,783,226,28.86,22,32,46,80,66,79,71,12,38,0,458,0
Pct 7315,VBM,7315,1,783,371,47.38,32,51,92,118,108,151,126,22,74,2,704,4
Pct 7316,Election Day,7316,1,893,220,24.64,22,30,33,86,33,75,67,18,37,0,467,12
Pct 7316,VBM,7316,1,893,441,49.38,46,83,116,137,113,159,133,26,95,1,855,0
Pct 7317,Election Day,7317,1,938,225,23.99,27,36,51,77,57,81,77,14,51,0,429,0
Pct 7317,VBM,7317,1,938,518,55.22,73,75,143,180,168,206,168,36,117,0,890,16
