PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),BEVAN DUFTY,MICHAEL PETRELIS,GWYNETH BORDEN,WRITE-IN,Under Vote,Over Vote
Pct 7555,Election Day,7555,1,893,298,33.37,149,5,70,0,74,0
Pct 7555,VBM,7555,1,893,548,61.37,263,7,128,0,150,0
Pct 7556/7557,Election Day,7556,1,1008,315,31.25,143,7,71,2,92,0
Pct 7556/7557,VBM,7556,1,1008,591,58.63,289,9,160,3,130,0
Pct 7601,Election Day,7601,1,929,223,24.00,92,20,43,3,64,1
Pct 7601,VBM,7601,1,929,365,39.29,167,33,83,1,81,0
Pct 7602,Election Day,7602,1,962,267,27.75,114,38,49,3,63,0
Pct 7602,VBM,7602,1,962,422,43.87,182,33,115,2,87,3
Pct 7603,Election Day,7603,1,888,286,32.21,119,27,65,0,74,1
Pct 7603,VBM,7603,1,888,404,45.50,188,33,95,1,86,1
Pct 7604,Election Day,7604,1,989,284,28.72,118,39,41,1,85,0
Pct 7604,VBM,7604,1,989,393,39.74,167,53,105,1,67,0
Pct 7605,Election Day,7605,1,771,191,24.77,73,21,35,3,59,0
Pct 7605,VBM,7605,1,771,237,30.74,91,24,82,0,39,1
Pct 7606,Election Day,7606,1,992,247,24.90,89,41,49,1,65,2
Pct 7606,VBM,7606,1,992,393,39.62,167,44,83,2,94,3
Pct 7607,Election Day,7607,1,1055,272,25.78,120,31,60,2,58,1
Pct 7607,VBM,7607,1,1055,438,41.52,214,40,100,1,83,0
Pct 7608,Election Day,7608,1,456,89,19.52,34,9,17,0,28,1
Pct 7608,VBM,7608,1,456,155,33.99,48,27,42,1,37,0
Pct 7609,Election Day,7609,1,1051,153,14.56,52,27,34,0,39,1
Pct 7609,VBM,7609,1,1051,398,37.87,147,33,112,1,99,6
Pct 7611,Election Day,7611,1,898,155,17.26,53,23,36,3,38,2
Pct 7611,VBM,7611,1,898,324,36.08,120,39,78,1,83,3
Pct 7612,Election Day,7612,1,668,120,17.96,49,11,27,0,33,0
Pct 7612,VBM,7612,1,668,298,44.61,113,17,78,1,89,0
Pct 7613,Election Day,7613,1,1015,225,22.17,91,23,47,1,60,3
Pct 7613,VBM,7613,1,1015,392,38.62,166,53,82,2,86,3
Pct 7614,Election Day,7614,1,1177,275,23.36,97,35,58,6,78,1
Pct 7614,VBM,7614,1,1177,518,44.01,217,55,137,3,105,1
Pct 7615,Election Day,7615,1,1020,216,21.18,79,41,42,0,54,0
Pct 7615,VBM,7615,1,1020,312,30.59,112,40,81,2,75,2
Pct 7616,Election Day,7616,1,981,195,19.88,68,13,52,1,61,0
Pct 7616,VBM,7616,1,981,612,62.39,230,36,173,1,170,2
Pct 7617,Election Day,7617,1,898,151,16.82,59,20,25,0,46,1
Pct 7617,VBM,7617,1,898,365,40.65,131,40,97,1,91,5
Pct 7618,Election Day,7618,1,948,184,19.41,80,15,46,0,43,0
Pct 7618,VBM,7618,1,948,505,53.27,241,27,130,4,100,3
Pct 7619,Election Day,7619,1,1971,418,21.21,169,35,93,3,118,0
Pct 7619,VBM,7619,1,1971,1067,54.13,410,76,319,7,252,3
Pct 7621,Election Day,7621,1,1082,254,23.48,73,14,80,1,86,0
Pct 7621,VBM,7621,1,1082,546,50.46,206,28,173,2,137,0
Pct 7622,Election Day,7622,1,1007,181,17.97,61,29,33,0,58,0
Pct 7622,VBM,7622,1,1007,353,35.05,132,40,92,2,84,3
Pct 7623,Election Day,7623,1,839,171,20.38,65,22,53,0,31,0
Pct 7623,VBM,7623,1,839,296,35.28,123,29,74,1,67,2
Pct 7624,Election Day,7624,1,1074,212,19.74,77,22,48,3,58,4
Pct 7624,VBM,7624,1,1074,353,32.87,146,35,97,4,70,1
Pct 7625,Election Day,7625,1,896,87,9.71,20,12,23,1,31,0
Pct 7625,VBM,7625,1,896,530,59.15,174,57,131,3,164,1
Pct 7626,Election Day,7626,1,1177,291,24.72,108,21,66,0,96,0
Pct 7626,VBM,7626,1,1177,720,61.17,264,31,220,4,201,0
Pct 7628,Election Day,7628,1,1006,255,25.35,115,30,47,2,60,1
Pct 7628,VBM,7628,1,1006,465,46.22,216,28,121,6,94,0
Pct 7629,Election Day,7629,1,837,212,25.33,87,11,53,2,58,1
Pct 7629,VBM,7629,1,837,365,43.61,139,17,117,0,91,1
Pct 7631,Election Day,7631,1,1143,313,27.38,91,32,86,3,101,0
Pct 7631,VBM,7631,1,1143,602,52.67,231,29,170,1,170,1
Pct 7632,Election Day,7632,1,727,190,26.13,90,15,49,0,36,0
Pct 7632,VBM,7632,1,727,342,47.04,169,15,89,1,67,1
Pct 7633,Election Day,7633,1,731,182,24.90,64,21,47,0,50,0
Pct 7633,VBM,7633,1,731,392,53.63,137,27,113,1,112,2
Pct 7634,Election Day,7634,1,1017,222,21.83,62,23,63,0,74,0
Pct 7634,VBM,7634,1,1017,484,47.59,188,42,144,0,108,2
Pct 7701,Election Day,7701,1,1049,354,33.75,155,18,91,2,88,0
Pct 7701,VBM,7701,1,1049,560,53.38,229,20,139,1,171,0
Pct 7702,Election Day,7702,1,775,192,24.77,78,10,45,2,57,0
Pct 7702,VBM,7702,1,775,471,60.77,195,13,117,0,144,2
Pct 7703 MB,Election Day,7703,1,178,0,0.00,0,0,0,0,0,0
Pct 7703 MB,VBM,7703,1,178,100,56.18,20,10,33,0,36,1
Pct 7704,Election Day,7704,1,1006,302,30.02,139,12,58,1,92,0
Pct 7704,VBM,7704,1,1006,579,57.55,270,12,146,2,149,0
Pct 7705,Election Day,7705,1,554,186,33.57,82,5,43,0,55,1
Pct 7705,VBM,7705,1,554,309,55.78,143,14,75,1,75,1
Pct 7711,Election Day,7711,1,789,223,28.26,113,10,45,2,53,0
Pct 7711,VBM,7711,1,789,462,58.56,216,14,119,2,110,1
Pct 7712,Election Day,7712,1,577,180,31.20,83,15,44,0,38,0
Pct 7712,VBM,7712,1,577,338,58.58,164,12,76,1,84,1
Pct 7801,Election Day,7801,1,975,309,31.69,155,10,75,0,68,1
Pct 7801,VBM,7801,1,975,655,67.18,332,7,179,1,134,2
Pct 7802,Election Day,7802,1,760,261,34.34,148,3,57,0,53,0
Pct 7802,VBM,7802,1,760,462,60.79,257,4,94,1,102,4
Pct 7803,Election Day,7803,1,827,200,24.18,107,7,44,0,42,0
Pct 7803,VBM,7803,1,827,574,69.41,296,14,143,3,117,1
Pct 7804,Election Day,7804,1,932,310,33.26,163,11,60,0,76,0
Pct 7804,VBM,7804,1,932,566,60.73,293,12,131,1,128,1
Pct 7805,Election Day,7805,1,852,260,30.52,141,14,50,0,55,0
Pct 7805,VBM,7805,1,852,501,58.80,268,13,137,0,82,1
Pct 7806,Election Day,7806,1,746,251,33.65,127,10,60,1,53,0
Pct 7806,VBM,7806,1,746,412,55.23,224,6,91,0,90,1
Pct 7807,Election Day,7807,1,774,293,37.86,153,20,64,2,54,0
Pct 7807,VBM,7807,1,774,378,48.84,212,15,78,2,71,0
Pct 7808,Election Day,7808,1,702,218,31.05,110,9,42,0,57,0
Pct 7808,VBM,7808,1,702,360,51.28,216,8,68,2,66,0
Pct 7809,Election Day,7809,1,1234,401,32.50,199,16,79,2,104,1
Pct 7809,VBM,7809,1,1234,690,55.92,295,33,195,4,162,1
Pct 7811,Election Day,7811,1,806,268,33.25,137,15,53,1,62,0
Pct 7811,VBM,7811,1,806,428,53.10,220,14,88,1,104,1
Pct 7812,Election Day,7812,1,892,275,30.83,112,23,65,0,75,0
Pct 7812,VBM,7812,1,892,477,53.48,233,24,118,1,99,2
Pct 7813,Election Day,7813,1,1061,362,34.12,180,11,87,1,83,0
Pct 7813,VBM,7813,1,1061,581,54.76,301,15,135,1,129,0
Pct 7814,Election Day,7814,1,919,298,32.43,130,34,63,1,70,0
Pct 7814,VBM,7814,1,919,369,40.15,160,46,95,2,65,1
Pct 7815,Election Day,7815,1,967,296,30.61,145,8,57,1,85,0
Pct 7815,VBM,7815,1,967,583,60.29,339,15,116,4,109,0
Pct 7816,Election Day,7816,1,896,268,29.91,147,10,56,1,53,1
Pct 7816,VBM,7816,1,896,555,61.94,321,10,146,1,77,0
Pct 7817,Election Day,7817,1,804,285,35.45,151,16,55,0,62,1
Pct 7817,VBM,7817,1,804,426,52.99,251,13,96,0,64,2
Pct 7818,Election Day,7818,1,889,271,30.48,145,21,47,2,56,0
Pct 7818,VBM,7818,1,889,516,58.04,276,13,128,1,98,0
Pct 7819,Election Day,7819,1,809,249,30.78,124,18,49,1,57,0
Pct 7819,VBM,7819,1,809,433,53.52,211,23,109,0,89,1
Pct 7821,Election Day,7821,1,998,286,28.66,168,7,53,1,57,0
Pct 7821,VBM,7821,1,998,630,63.13,332,17,162,2,114,3
Pct 7822,Election Day,7822,1,951,318,33.44,178,18,73,0,49,0
Pct 7822,VBM,7822,1,951,458,48.16,259,12,107,1,79,0
Pct 7823,Election Day,7823,1,928,294,31.68,183,9,53,0,49,0
Pct 7823,VBM,7823,1,928,512,55.17,285,16,132,0,77,2
Pct 7824,Election Day,7824,1,794,254,31.99,133,22,46,1,52,0
Pct 7824,VBM,7824,1,794,411,51.76,223,20,88,0,80,0
Pct 7825,Election Day,7825,1,578,216,37.37,111,10,54,0,41,0
Pct 7825,VBM,7825,1,578,305,52.77,143,8,88,2,64,0
Pct 7826,Election Day,7826,1,709,259,36.53,141,8,54,3,52,1
Pct 7826,VBM,7826,1,709,374,52.75,189,9,98,0,78,0
Pct 7827,Election Day,7827,1,931,313,33.62,160,26,51,1,75,0
Pct 7827,VBM,7827,1,931,445,47.80,226,19,96,1,101,2
Pct 7828,Election Day,7828,1,1053,311,29.53,133,15,93,0,70,0
Pct 7828,VBM,7828,1,1053,613,58.21,318,15,129,3,148,0
