PrecinctName,ReportingType,PrecinctID,Precincts,Registration,Ballots Cast,Turnout (%),Yes,No,Under Vote,Over Vote
Pct 7302,VBM,7302,1,862,508,58.93,350,123,29,0
Pct 7303,Election Day,7303,1,1032,313,30.33,231,67,18,0
Pct 7303,VBM,7303,1,1032,538,52.13,386,115,33,0
Pct 7304,Election Day,7304,1,993,327,32.93,241,64,22,0
Pct 7304,VBM,7304,1,993,501,50.45,357,115,28,0
Pct 7305,Election Day,7305,1,906,272,30.02,199,56,16,0
Pct 7305,VBM,7305,1,906,500,55.19,348,117,25,0
Pct 7306,Election Day,7306,1,1076,351,32.62,242,78,20,1
Pct 7306,VBM,7306,1,1076,531,49.35,362,116,35,1
Pct 7307,Election Day,7307,1,826,267,32.32,204,46,18,0
Pct 7307,VBM,7307,1,826,407,49.27,297,76,23,1
Pct 7308,Election Day,7308,1,641,209,32.61,163,35,10,1
Pct 7308,VBM,7308,1,641,339,52.89,246,72,19,0
Pct 7309,Election Day,7309,1,897,295,32.89,212,65,21,0
Pct 7309,VBM,7309,1,897,469,52.29,339,99,18,0
Pct 7311,Election Day,7311,1,986,333,33.77,235,75,24,0
Pct 7311,VBM,7311,1,986,520,52.74,387,103,20,0
Pct 7312,Election Day,7312,1,874,229,26.20,159,52,19,1
Pct 7312,VBM,7312,1,874,539,61.67,379,126,28,1
Pct 7313,Election Day,7313,1,1001,261,26.07,180,57,25,0
Pct 7313,VBM,7313,1,1001,537,53.65,382,117,29,0
Pct 7314,Election Day,7314,1,833,164,19.69,89,46,30,0
Pct 7314,VBM,7314,1,833,347,41.66,186,100,51,1
Pct 7315,Election Day,7315,1,783,226,28.86,165,45,17,0
Pct 7315,VBM,7315,1,783,371,47.38,243,90,29,0
Pct 7316,Election Day,7316,1,893,220,24.64,152,50,18,0
Pct 7316,VBM,7316,1,893,441,49.38,298,111,29,0
Pct 7317,Election Day,7317,1,938,225,23.99,149,71,6,0
Pct 7317,VBM,7317,1,938,518,55.22,363,116,29,0
Pct 7318,Election Day,7318,1,788,252,31.98,176,53,18,0
Pct 7318,VBM,7318,1,788,437,55.46,297,95,40,0
Pct 7319,Election Day,7319,1,1123,330,29.39,236,74,19,0
Pct 7319,VBM,7319,1,1123,578,51.47,384,160,23,0
Pct 7321,Election Day,7321,1,683,179,26.21,118,50,14,0
Pct 7321,VBM,7321,1,683,314,45.97,208,87,11,0
Pct 7322,Election Day,7322,1,937,122,13.02,70,37,17,0
Pct 7322,VBM,7322,1,937,404,43.12,216,113,69,0
Pct 7323,Election Day,7323,1,888,277,31.19,190,72,15,0
Pct 7323,VBM,7323,1,888,450,50.68,321,95,20,0
Pct 7324,Election Day,7324,1,756,216,28.57,151,49,14,0
Pct 7324,VBM,7324,1,756,385,50.93,263,89,28,0
Pct 7325,Election Day,7325,1,973,282,28.98,206,55,19,0
Pct 7325,VBM,7325,1,973,510,52.42,359,116,26,0
Pct 7326,Election Day,7326,1,922,266,28.85,169,74,22,0
Pct 7326,VBM,7326,1,922,483,52.39,349,92,30,0
Pct 7327,Election Day,7327,1,762,95,12.47,66,17,12,0
Pct 7327,VBM,7327,1,762,339,44.49,180,103,56,0
Pct 7328,Election Day,7328,1,1024,115,11.23,66,32,19,0
Pct 7328,VBM,7328,1,1024,502,49.02,295,110,98,0
Pct 7329,Election Day,7329,1,607,120,19.77,83,29,9,0
Pct 7329,VBM,7329,1,607,334,55.02,219,85,27,0
Pct 7331,Election Day,7331,1,933,260,27.87,165,73,22,1
Pct 7331,VBM,7331,1,933,533,57.13,332,163,25,1
Pct 7332,Election Day,7332,1,889,274,30.82,199,53,20,1
Pct 7332,VBM,7332,1,889,444,49.94,325,96,16,0
Pct 7333,Election Day,7333,1,1101,324,29.43,236,73,14,0
Pct 7333,VBM,7333,1,1101,564,51.23,384,139,31,0
Pct 7334,Election Day,7334,1,963,248,25.75,173,56,18,0
Pct 7334,VBM,7334,1,963,526,54.62,384,103,28,0
Pct 7335,Election Day,7335,1,1002,306,30.54,220,66,22,0
Pct 7335,VBM,7335,1,1002,588,58.68,413,140,23,0
Pct 7336,Election Day,7336,1,1017,275,27.04,191,66,18,0
Pct 7336,VBM,7336,1,1017,608,59.78,411,143,46,0
Pct 7337,Election Day,7337,1,944,223,23.62,158,56,9,0
Pct 7337,VBM,7337,1,944,532,56.36,364,128,35,1
Pct 7338,Election Day,7338,1,1005,195,19.40,111,49,36,0
Pct 7338,VBM,7338,1,1005,500,49.75,312,128,53,0
Pct 7339,Election Day,7339,1,660,179,27.12,130,38,11,0
Pct 7339,VBM,7339,1,660,316,47.88,220,79,11,1
Pct 7341,Election Day,7341,1,974,289,29.67,189,67,27,0
Pct 7341,VBM,7341,1,974,476,48.87,349,100,24,0
Pct 7342,Election Day,7342,1,1034,380,36.75,257,98,26,0
Pct 7342,VBM,7342,1,1034,411,39.75,291,99,13,0
Pct 7343,Election Day,7343,1,746,267,35.79,203,47,16,0
Pct 7343,VBM,7343,1,746,351,47.05,265,64,18,0
Pct 7344,Election Day,7344,1,1143,352,30.80,250,75,27,0
Pct 7344,VBM,7344,1,1143,564,49.34,398,133,27,0
Pct 7345,Election Day,7345,1,1186,365,30.78,262,77,26,0
Pct 7345,VBM,7345,1,1186,526,44.35,384,104,27,0
Pct 7346,Election Day,7346,1,991,328,33.10,237,72,20,0
Pct 7346,VBM,7346,1,991,434,43.79,305,100,22,0
Pct 7347,Election Day,7347,1,1085,335,30.88,244,68,22,0
Pct 7347,VBM,7347,1,1085,506,46.64,369,96,27,0
