precinct_id	name	list_order	type_1	type_2	type_3	type_4	type_5	type_6	cmax_category_order	ed_turnout	ev_turnout	MAIL_turnout	type4_turnout	type5_turnout	type6_turnout	turnout
234	Pct 7638	234	1	2	3	4	5	6	2	122	281	0	0	0	0	403
235	Pct 7639	235	1	2	3	4	5	6	2	128	176	0	0	0	0	304
236	Pct 7641	236	1	2	3	4	5	6	2	128	242	0	0	0	0	370
237	Pct 7642	237	1	2	3	4	5	6	2	100	125	0	0	0	0	225
238	Pct 7643	238	1	2	3	4	5	6	2	103	242	0	0	0	0	345
239	Pct 7644	239	1	2	3	4	5	6	2	162	160	0	0	0	0	322
240	Pct 7645	240	1	2	3	4	5	6	2	69	193	0	0	0	0	262
241	Pct 7646	241	1	2	3	4	5	6	2	209	354	0	0	0	0	563
242	Pct 7647	242	1	2	3	4	5	6	2	114	106	0	0	0	0	220
243	Pct 7648 MB	243	1	2	3	4	5	6	2	0	2	0	0	0	0	2
244	Pct 7701	244	1	2	3	4	5	6	2	265	188	0	0	0	0	453
245	Pct 7702	245	1	2	3	4	5	6	2	135	200	0	0	0	0	335
246	Pct 7703 MB	246	1	2	3	4	5	6	2	0	41	0	0	0	0	41
247	Pct 7704	247	1	2	3	4	5	6	2	229	245	0	0	0	0	474
248	Pct 7705	248	1	2	3	4	5	6	2	115	148	0	0	0	0	263
249	Pct 7706	249	1	2	3	4	5	6	2	208	221	0	0	0	0	429
250	Pct 7707	250	1	2	3	4	5	6	2	195	221	0	0	0	0	416
251	Pct 7708	251	1	2	3	4	5	6	2	164	224	0	0	0	0	388
252	Pct 7709	252	1	2	3	4	5	6	2	88	99	0	0	0	0	187
253	Pct 7711	253	1	2	3	4	5	6	2	166	195	0	0	0	0	361
254	Pct 7712	254	1	2	3	4	5	6	2	122	103	0	0	0	0	225
255	Pct 7801	255	1	2	3	4	5	6	2	244	243	0	0	0	0	487
256	Pct 7802	256	1	2	3	4	5	6	2	198	176	0	0	0	0	374
257	Pct 7803	257	1	2	3	4	5	6	2	151	285	0	0	0	0	436
258	Pct 7804	258	1	2	3	4	5	6	2	224	255	0	0	0	0	479
259	Pct 7805	259	1	2	3	4	5	6	2	183	219	0	0	0	0	402
260	Pct 7806	260	1	2	3	4	5	6	2	169	132	0	0	0	0	301
261	Pct 7807	261	1	2	3	4	5	6	2	217	138	0	0	0	0	355
262	Pct 7808	262	1	2	3	4	5	6	2	175	132	0	0	0	0	307
263	Pct 7809	263	1	2	3	4	5	6	2	209	213	0	0	0	0	422
264	Pct 7811	264	1	2	3	4	5	6	2	205	130	0	0	0	0	335
265	Pct 7812	265	1	2	3	4	5	6	2	189	188	0	0	0	0	377
266	Pct 7813	266	1	2	3	4	5	6	2	259	205	0	0	0	0	464
267	Pct 7814	267	1	2	3	4	5	6	2	155	115	0	0	0	0	270
268	Pct 7815	268	1	2	3	4	5	6	2	191	248	0	0	0	0	439
269	Pct 7816	269	1	2	3	4	5	6	2	212	267	0	0	0	0	479
270	Pct 7817	270	1	2	3	4	5	6	2	231	178	0	0	0	0	409
271	Pct 7818	271	1	2	3	4	5	6	2	202	182	0	0	0	0	384
272	Pct 7819	272	1	2	3	4	5	6	2	181	160	0	0	0	0	341
273	Pct 7821	273	1	2	3	4	5	6	2	239	269	0	0	0	0	508
274	Pct 7822	274	1	2	3	4	5	6	2	239	183	0	0	0	0	422
275	Pct 7823	275	1	2	3	4	5	6	2	220	205	0	0	0	0	425
276	Pct 7824	276	1	2	3	4	5	6	2	196	162	0	0	0	0	358
277	Pct 7825	277	1	2	3	4	5	6	2	155	120	0	0	0	0	275
278	Pct 7826	278	1	2	3	4	5	6	2	175	126	0	0	0	0	301
279	Pct 7827	279	1	2	3	4	5	6	2	219	154	0	0	0	0	373
280	Pct 7828	280	1	2	3	4	5	6	2	202	252	0	0	0	0	454
281	Pct 7829	281	1	2	3	4	5	6	2	199	270	0	0	0	0	469
282	Pct 7831	282	1	2	3	4	5	6	2	224	252	0	0	0	0	476
283	Pct 7832	283	1	2	3	4	5	6	2	183	235	0	0	0	0	418
284	Pct 7833	284	1	2	3	4	5	6	2	183	151	0	0	0	0	334
285	Pct 7834	285	1	2	3	4	5	6	2	242	146	0	0	0	0	388
286	Pct 7835	286	1	2	3	4	5	6	2	203	199	0	0	0	0	402
287	Pct 7836	287	1	2	3	4	5	6	2	207	250	0	0	0	0	457
288	Pct 7837	288	1	2	3	4	5	6	2	231	226	0	0	0	0	457
289	Pct 7838	289	1	2	3	4	5	6	2	205	279	0	0	0	0	484
290	Pct 7839	290	1	2	3	4	5	6	2	183	257	0	0	0	0	440
291	Pct 7841	291	1	2	3	4	5	6	2	246	208	0	0	0	0	454
292	Pct 7842	292	1	2	3	4	5	6	2	238	159	0	0	0	0	397
293	Pct 7843	293	1	2	3	4	5	6	2	201	120	0	0	0	0	321
294	Pct 7844	294	1	2	3	4	5	6	2	169	117	0	0	0	0	286
295	Pct 7845	295	1	2	3	4	5	6	2	201	207	0	0	0	0	408
296	Pct 7846	296	1	2	3	4	5	6	2	219	186	0	0	0	0	405
297	Pct 7847	297	1	2	3	4	5	6	2	241	225	0	0	0	0	466
298	Pct 7848	298	1	2	3	4	5	6	2	214	205	0	0	0	0	419
299	Pct 7849	299	1	2	3	4	5	6	2	286	185	0	0	0	0	471
300	Pct 7851	300	1	2	3	4	5	6	2	104	159	0	0	0	0	263
301	Pct 7852	301	1	2	3	4	5	6	2	134	187	0	0	0	0	321
302	Pct 7853	302	1	2	3	4	5	6	2	182	222	0	0	0	0	404
303	Pct 7854	303	1	2	3	4	5	6	2	211	204	0	0	0	0	415
304	Pct 7855	304	1	2	3	4	5	6	2	237	180	0	0	0	0	417
305	Pct 7856	305	1	2	3	4	5	6	2	196	173	0	0	0	0	369
306	Pct 7857	306	1	2	3	4	5	6	2	206	206	0	0	0	0	412
307	Pct 7858	307	1	2	3	4	5	6	2	197	137	0	0	0	0	334
